frame_index,file,acquisition_order,X,Y,R,reference_file,success,fail_reason,n_ref_edges,n_mov_edges,n_used_edges,ncc_dx_ref_to_frame_px,ncc_dy_ref_to_frame_px,ncc_peak,ncc_fit_ok,ncc_edge_peak,init_align_dx_px,init_align_dy_px,refined_align_dx_px,refined_align_dy_px,refined_shift_norm_px,before_fit_chamfer_px,before_holdout_chamfer_px,init_fit_chamfer_px,init_holdout_chamfer_px,refined_fit_chamfer_px,refined_holdout_chamfer_px,holdout_improvement_pct,gradient_corr_before,gradient_corr_refined,gradient_corr_gain,stage0a_delta_dx_px,stage0a_delta_dy_px
10,40_0_0.txt,19,40.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.0768504470010984,3.124619321528131,0.9649243354797364,True,False,0.0768504470010984,-3.124619321528131,0.1268505454063415,-3.174619197845459,3.1255642523664724,1.058343595282024,1.052044747023013,0.0929772823971538,0.0932493373149708,0.0929772823971538,0.0932493373149708,91.1363715679547,0.3307710587978363,0.9729536175727844,0.6421825587749481,0.0500001013278961,-0.0499999523162841
11,0_2_0.txt,20,0.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.6173499405313692,1.7210469052996824,0.9464839696884156,True,False,1.6173499405313692,-1.7210469052996824,1.6173499822616575,-1.721046805381775,2.715146718557574,0.6008337788923207,0.6044819361004504,0.1708421987134106,0.1704643848313566,0.1419332672561515,0.1376192792872337,77.23351665807849,0.6306290030479431,0.9452618360519408,0.3146328330039978,-0.25,0.2500001192092895
12,2_2_0.txt,21,2.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.5375490845579398,1.781935154845036,0.9422652721405028,True,False,1.5375490845579398,-1.781935154845036,1.437549352645874,-1.7819350957870483,2.281505769521993,0.5962291283504146,0.6017261525436565,0.1746171992831948,0.1702159181131409,0.1598045497169558,0.1579588943562883,73.74903954422554,0.6303605437278748,0.9155617952346802,0.2852012515068054,0.4000002145767212,0.2500001192092895
13,4_2_0.txt,22,4.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.4127159129470308,1.8715275315986617,0.9465282559394836,True,False,1.4127159129470308,-1.8715275315986617,1.412716031074524,-1.8215274810791016,2.203298344698699,0.6045143517082956,0.6061171210451921,0.1638844039317962,0.1565959843132237,0.1531278424598947,0.1443248704856429,76.18861677479623,0.629051148891449,0.956076204776764,0.3270250558853149,0.2500001192092895,0.0500000715255737
14,6_2_0.txt,23,6.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.3140072914894256,1.9220182383461843,0.954791784286499,True,False,1.3140072914894256,-1.9220182383461843,1.2640074491500854,-1.8720182180404663,2.1968763335422485,0.6238059122977558,0.6154804609797679,0.1415557921409292,0.1449136284501782,0.1171427600944495,0.1225676593585581,80.08585696393259,0.623658299446106,0.9576619863510132,0.3340036869049072,0.2000001668930053,0.0500000715255737
15,8_2_0.txt,24,8.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.2302868451678968,1.9733416843246292,0.9598045945167542,True,False,1.2302868451678968,-1.9733416843246292,1.230286955833435,-1.9233416318893433,2.203415462844534,0.6220823686433918,0.6398987500497763,0.1180566509882444,0.1140425212229185,0.0884592249245257,0.086531068183711,86.47738127680667,0.6112374067306519,0.9596004486083984,0.3483630418777466,0.2500001192092895,0.0500000715255737
16,10_2_0.txt,25,10.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.1350410528984034,2.013538608997338,0.9639062881469728,True,False,1.1350410528984034,-2.013538608997338,1.185041069984436,-2.0135385990142822,2.311418595081309,0.6503225095789626,0.6421500826791295,0.0808566565684229,0.0845096599414522,0.0808566565684229,0.0845096599414522,86.83957812652339,0.600661039352417,0.9726204872131348,0.3719594478607178,0.0500000715255737,0.0
17,12_2_0.txt,26,12.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.050887239951521,2.068508903903587,0.9653053879737854,True,False,1.050887239951521,-2.068508903903587,1.0508873462677002,-2.0685088634490967,2.320149365153318,0.6631757575206331,0.6582760220068521,0.0645746077814539,0.0710947756243587,0.0645746077814539,0.0710947756243587,89.19985336734342,0.5836327075958252,0.973125696182251,0.3894929885864258,1.1920928955078125e-07,0.0
18,14_2_0.txt,27,14.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.9609297966892828,2.1068993228302353,0.9647972583770752,True,False,0.9609297966892828,-2.1068993228302353,0.9609298706054688,-2.1568992137908936,2.3156879821573133,0.6639994880416407,0.6781697308371056,0.0777195337107995,0.0784993317647384,0.0777195337107995,0.0784993317647384,88.42482520300014,0.5661083459854126,0.9727510809898376,0.406642735004425,5.960464477539064e-08,-0.0499999523162841
19,16_2_0.txt,28,16.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.8813032655143582,2.160999706669403,0.9615570306777954,True,False,0.8813032655143582,-2.160999706669403,0.8313033580780029,-2.2109997272491455,2.104427552731815,0.6885815146188127,0.6864202743136334,0.116813054479258,0.1126699248919915,0.1124632926249067,0.1103988043922143,83.91673315555771,0.5464005470275879,0.9617827534675598,0.4153822064399719,-0.0499998927116394,-0.3000000715255737
20,18_2_0.txt,29,18.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.7817138873053794,2.202784683283286,0.9564791321754456,True,False,0.7817138873053794,-2.202784683283286,0.7817138433456421,-2.2527847290039062,2.208574554893852,0.6876455260171559,0.7017885488795524,0.1419280892748358,0.1441125402022036,0.1083725703962021,0.1094975847689359,84.39735374084468,0.5248075723648071,0.947259485721588,0.422451913356781,-0.25,-0.3000000715255737
21,20_2_0.txt,30,20.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.6974141591720375,2.2589586167397533,0.9492430090904236,True,False,0.6974141591720375,-2.2589586167397533,0.747414231300354,-2.258958578109741,2.2211502229188738,0.7180163003346235,0.7238799559163794,0.1617551709379967,0.1634478852654497,0.1158465998230431,0.1197099343388774,83.4627366926698,0.5046744346618652,0.9431082606315612,0.438433825969696,-0.1999999284744262,-0.25
22,24_2_0.txt,31,24.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.5016808033692396,2.421370404635292,0.9305614829063416,True,False,0.5016808033692396,-2.421370404635292,0.40168097615242,-2.3213703632354736,2.17137105516906,0.7611429307293318,0.742255794608698,0.1738787311933645,0.1762649447374465,0.1620685435116694,0.1699272135624481,77.10665045706645,0.4645122587680816,0.919330358505249,0.4548180997371673,0.4000001847743988,-0.1499998569488525
23,28_2_0.txt,32,28.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.3312086252462211,2.5160889517527547,0.9347147345542908,True,False,0.3312086252462211,-2.5160889517527547,0.2812087535858154,-2.4160890579223633,2.017723841905503,0.7917056145974505,0.7751449518761063,0.1697250710149142,0.1764949216881147,0.1507045726431126,0.1411345366790111,81.79249747580513,0.4254242479801178,0.9217570424079896,0.4963327944278717,0.2000001370906829,-0.4000000953674316
24,32_2_0.txt,33,32.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.1790062944752785,2.6583005604343097,0.9497458338737488,True,False,0.1790062944752785,-2.6583005604343097,0.2290064543485641,-2.6583003997802734,2.909166935060044,0.8312365994901026,0.8532608768304992,0.161117534391893,0.1656566320899186,0.1439566928800657,0.1446417570943122,83.04835472691603,0.392226368188858,0.9439119696617126,0.5516856014728546,0.3000001609325409,0.2500002384185791
25,36_2_0.txt,34,36.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.0083729435044269,2.7662704757700354,0.9600852727890016,True,False,0.0083729435044269,-2.7662704757700354,0.0083730332553386,-2.766270160675049,3.0162820970832493,0.8891839299255642,0.9043033041923604,0.1138951175810495,0.1157606412208099,0.0894984391609199,0.0862183099002251,90.46577519948052,0.3667106330394745,0.9573881030082704,0.5906774699687958,8.940696716308595e-08,0.2500002384185791
26,40_2_0.txt,35,40.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,0.1444828449633755,2.8824914220230564,0.9630745649337769,True,False,-0.1444828449633755,-2.8824914220230564,-0.1944827735424041,-2.832491159439087,2.8861102006897124,0.9443389182674332,0.9611686544972816,0.1089872093956631,0.1075434198404536,0.1089872093956631,0.1075434198404536,88.81118112443004,0.3491917252540588,0.9720862507820128,0.6228945255279541,-0.0499999225139617,0.0500001907348632
27,0_4_0.txt,36,0.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.3627970381683905,1.5008967241863929,0.9328955411911012,True,False,1.3627970381683905,-1.5008967241863929,1.31279718875885,-1.400896668434143,1.4967002039965769,0.5087841911811846,0.51198243007236,0.1744519981454348,0.175344419896874,0.1503127501951611,0.1531242263690176,70.09189820295666,0.6571612358093262,0.9220680594444276,0.2649068236351013,0.2000001668930053,-0.3999999761581421
28,2_4_0.txt,37,2.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.2908203126262412,1.5614323412992488,0.93660968542099,True,False,1.2908203126262412,-1.5614323412992488,1.2408205270767212,-1.5614322423934937,2.0891610876809534,0.4997526242564281,0.4953851362937703,0.172215581903282,0.1759351311022198,0.1528798340823274,0.1564732520143962,68.41381774490598,0.6592965126037598,0.9418143033981324,0.2825177907943725,0.2000001668930053,0.2500001192092895
29,4_4_0.txt,38,4.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.1886438949752884,1.610283101850336,0.9444047808647156,True,False,1.1886438949752884,-1.610283101850336,1.238644003868103,-1.6102830171585083,2.0836759778344347,0.5032793911501158,0.4994451132896194,0.1670689092061451,0.165176006285064,0.1504146340597598,0.1498967003549776,69.98735269073396,0.6586362719535828,0.9435990452766418,0.2849627733230591,0.3000001311302185,0.2500001192092895
30,6_4_0.txt,39,6.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.103422529296787,1.6679963391390744,0.951210916042328,True,False,1.103422529296787,-1.6679963391390744,1.1034226417541504,-1.667996168136597,2.2127474404257277,0.5155785465304971,0.5165190534809124,0.1577194413758558,0.1477851863627445,0.1431740290372503,0.1304753097178138,74.73949724825873,0.6517298221588135,0.9543342590332032,0.3026044368743896,1.1920928955078125e-07,0.2500001192092895
31,8_4_0.txt,40,8.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.0084734430963451,1.7126451397758984,0.955042839050293,True,False,1.0084734430963451,-1.7126451397758984,1.008473515510559,-1.7126450538635254,2.2065798490234956,0.5250326749553611,0.5237321118756154,0.1260460862976198,0.1313585463049458,0.0978042993832363,0.1070105292253975,79.56769753105914,0.6429733037948608,0.9551483988761902,0.3121750950813293,1.1920928955078125e-07,0.2500001192092895
32,10_4_0.txt,41,10.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.926683988007326,1.7647392017058785,0.9580598473548888,True,False,0.926683988007326,-1.7647392017058785,0.8766840696334839,-1.764739155769348,2.2176377667508285,0.5368834880172367,0.5447487842268333,0.1254826486729936,0.1247273260916589,0.0997055808872407,0.0970847727697804,82.17806526955839,0.6289644837379456,0.958224356174469,0.3292598724365234,-0.0499998927116394,0.2500001192092895
33,12_4_0.txt,42,12.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.8301358434343716,1.7952322740301785,0.9571985006332396,True,False,0.8301358434343716,-1.7952322740301785,0.7801358699798584,-1.745232105255127,2.312935039080505,0.5548591483546509,0.557372936924053,0.1350982566723031,0.1296109120397671,0.1123394995577995,0.1070159179835331,80.79994364740479,0.6146263480186462,0.9497047662734984,0.3350784182548523,-0.2999999523162842,0.3000001907348633
34,14_4_0.txt,43,14.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.7502787781404376,1.8512054600909775,0.95563942193985,True,False,0.7502787781404376,-1.8512054600909775,0.7502788305282593,-1.8012051582336426,2.3271489035973323,0.5650200730126499,0.5740667986123651,0.1392273553088808,0.1412022167301433,0.1112665295873359,0.1149466645636964,79.97677886239971,0.5962916016578674,0.948758602142334,0.3524670004844665,-0.25,0.3000001907348633
35,16_4_0.txt,44,16.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.6550193754030292,1.8875573007360456,0.9507535099983216,True,False,0.6550193754030292,-1.8875573007360456,0.6550194025039673,-1.8375571966171265,2.0933066267073333,0.5756856891752586,0.5811200994712642,0.1566006225720364,0.1511315570018059,0.1409733481368989,0.133361880711127,77.05089174639336,0.5775595903396606,0.9549901485443116,0.3774305582046509,-0.25,0.0500000715255737
36,18_4_0.txt,45,18.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.5704900863236162,1.942732673444285,0.9450809955596924,True,False,0.5704900863236162,-1.942732673444285,0.5704901218414307,-1.942732572555542,2.108889333801874,0.5977479925244433,0.5944262080801991,0.1577674461139678,0.1538048133180349,0.1537344941481562,0.1493100768625524,74.88164639564349,0.5566566586494446,0.9535030722618104,0.3968464136123657,-0.2499999403953552,1.1920928955078125e-07
37,20_4_0.txt,46,20.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.4287743931122467,2.018093730709783,0.9449188113212584,True,False,0.4287743931122467,-2.018093730709783,0.4287745356559753,-1.968093752861023,2.0259966904125934,0.606925421476938,0.617916657014257,0.1495775863377691,0.1508548739501309,0.1454491897361071,0.1409508418938904,77.18934417871854,0.5369250178337097,0.9544594883918762,0.4175344705581665,0.2500001490116119,0.0500000715255737
38,24_4_0.txt,47,24.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.2705847205291837,2.1400140968535992,0.9553326964378356,True,False,0.2705847205291837,-2.1400140968535992,0.2705848813056946,-2.140014171600342,2.140113096416026,0.658845015061342,0.6583897920347296,0.1433551457198542,0.1449921703312708,0.1171934276602491,0.1214379689979498,81.55530804591454,0.493039608001709,0.957850694656372,0.4648110866546631,0.2500001490116119,0.0
39,28_4_0.txt,48,28.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.110959319619961,2.243597901192264,0.9576811790466307,True,False,0.110959319619961,-2.243597901192264,0.1609594225883484,-2.2435977458953857,1.9966833905876828,0.6909167014197464,0.6911929248369063,0.1279903000906382,0.1298550365694366,0.0952301894994914,0.0986273429979018,85.73085177033981,0.4544581770896911,0.9617351293563844,0.5072769522666931,0.0500001013278961,-0.2499998807907104
40,32_4_0.txt,49,32.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,0.0446502023774071,2.3584550389851215,0.9515305161476136,True,False,-0.0446502023774071,-2.3584550389851215,-0.0446501113474369,-2.358454942703247,2.1089277588371997,0.7603017259564587,0.7621201234104891,0.1515693974791194,0.1412715953287988,0.1364471178730427,0.1256558108817606,83.51233525766901,0.4209173619747162,0.9574272036552428,0.5365098416805267,8.940696716308595e-08,-0.25
41,36_4_0.txt,50,36.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,0.2015926872555744,2.501477026679638,0.9384596943855286,True,False,-0.2015926872555744,-2.501477026679638,-0.2515926659107208,-2.6014769077301025,3.001867353767114,0.7984889542007577,0.8012747961051776,0.1706163589677901,0.1700054753870495,0.158751756542329,0.1658254858710391,79.30479197934582,0.3964386880397796,0.912755846977234,0.5163171589374542,-0.2999999821186065,0.4000000953674316
42,40_4_0.txt,51,40.0,4.0,0,6_16_0.txt,True,ok,9072,9072,8000,0.3544070929931016,2.619047824903402,0.9418324828147888,True,False,-0.3544070929931016,-2.619047824903402,-0.3044070601463318,-2.6690478324890137,2.8709469278707003,0.8768924727634345,0.8611340188488052,0.1710207081232632,0.1730196161532431,0.1422564585775086,0.1472481332362746,82.90067167092978,0.3756066560745239,0.9460521340370178,0.5704454779624939,-0.1999999582767486,0.2000000476837158
43,0_6_0.txt,52,0.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.1391903978314004,1.2225443166034131,0.9559197425842284,True,False,1.1391903978314004,-1.2225443166034131,1.1891905069351196,-1.2225443124771118,1.4978642162321871,0.4040672644693172,0.4032447294278241,0.1326345657546772,0.1303769720599832,0.1079865709251381,0.1056129987927458,73.80920540670097,0.6960772275924683,0.9609847664833068,0.2649075388908386,0.0500000715255737,-0.25
44,2_6_0.txt,53,2.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.0614407765200449,1.2743074395984244,0.9547346234321594,True,False,1.0614407765200449,-1.2743074395984244,1.0614409446716309,-1.2743074893951416,1.4750804225113137,0.3955336117683942,0.3970802778378462,0.1321438188216492,0.1288803892338628,0.1020318078708318,0.0965313650872847,75.6897105006296,0.6985556483268738,0.9591348171234132,0.2605791687965393,1.1920928955078125e-07,-0.25
45,4_6_0.txt,54,4.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.970738051217562,1.3165887769392504,0.9518083930015564,True,False,0.970738051217562,-1.3165887769392504,0.970738172531128,-1.3165887594223022,1.442201089714758,0.3962254513481629,0.4158339342709708,0.1379501922741527,0.1360619393550907,0.1129891377945799,0.1154353970015655,72.24002480606978,0.6985808610916138,0.9568706750869752,0.2582898139953613,1.1920928955078125e-07,-0.25
46,6_6_0.txt,55,6.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.8841658289307681,1.3697678626154526,0.9464588165283204,True,False,0.8841658289307681,-1.3697678626154526,0.8341659307479858,-1.3697679042816162,1.4267548069641158,0.4223934972914378,0.4145557596779188,0.1584769544984401,0.1555522336726516,0.147278192307312,0.1420755942246376,65.728230543698,0.6933313608169556,0.955781877040863,0.2624505162239074,-0.0499998927116394,-0.25
47,8_6_0.txt,56,8.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.7845355660299278,1.4161079638009737,0.939938187599182,True,False,0.7845355660299278,-1.4161079638009737,0.7845355272293091,-1.416108012199402,1.5588686989675928,0.4332795362607588,0.4220161502643507,0.1704487808525354,0.1692548818409152,0.1552381012043971,0.1486498091978045,64.77627476941572,0.6850380897521973,0.943706512451172,0.2586684226989746,-0.25,-0.25
48,10_6_0.txt,57,10.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.7058673153783894,1.4894098988529698,0.9335203170776368,True,False,0.7058673153783894,-1.4894098988529698,0.7558673620223999,-1.5894097089767456,2.207132544788118,0.4426380191835668,0.4548308833942014,0.1701931120026063,0.1764699582170591,0.1473262173591946,0.1491224206095198,67.21365543678888,0.6717987060546875,0.914667010307312,0.2428683042526245,-0.1999999284744262,0.4000002145767212
49,12_6_0.txt,58,12.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.610945663713661,1.5191574169320128,0.9316373467445374,True,False,0.610945663713661,-1.5191574169320128,0.6609456539154053,-1.6191571950912476,2.195045354934361,0.4605942668410452,0.4525658542203884,0.1752678730823983,0.1720009025509642,0.1533836893073748,0.157838478267963,65.12364404074118,0.6599071025848389,0.9195230007171632,0.2596158981323242,-0.199999988079071,0.4000002145767212
50,18_6_0.txt,59,18.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.5264182581482038,1.5699779072141744,0.9296280741691588,True,False,0.5264182581482038,-1.5699779072141744,0.5264183282852173,-1.6199777126312256,1.9786725081057697,0.4767082278717242,0.474720206168768,0.1767027982064884,0.1725923343754718,0.1644081843908558,0.1659101316837815,65.05096485722397,0.6414734721183777,0.946463704109192,0.3049902319908142,-0.2499999403953552,0.2000001668930053
51,20_6_0.txt,60,20.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.4317478496271938,1.6616148965104018,0.9338353872299194,True,False,0.4317478496271938,-1.6616148965104018,0.4317480027675628,-1.6616147756576538,1.920235348441587,0.4869628468558872,0.4773656281473086,0.173121547495858,0.1720242194435557,0.1525185819080922,0.1524312848930969,68.06823199971602,0.6244688630104065,0.9418208003044128,0.3173519372940063,0.2500001490116119,0.2500001192092895
52,24_6_0.txt,61,24.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.2320868788916464,1.7728296300414177,0.9519189596176147,True,False,0.2320868788916464,-1.7728296300414177,0.232087031006813,-1.7228293418884275,2.022908943101825,0.5172763872981496,0.5191906008605226,0.1495725453656124,0.1509485866092224,0.1060037734711422,0.1087994678369749,79.04440726456772,0.5831871032714844,0.9434046149253844,0.3602175116539001,0.2500001490116119,0.3000001907348633
53,28_6_0.txt,62,28.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.0798823907718842,1.898078881968624,0.961868941783905,True,False,0.0798823907718842,-1.898078881968624,0.1298824846744537,-1.8480788469314575,1.8997591001310383,0.5622683838733369,0.5679358138196373,0.086748813066111,0.0912816354624307,0.086748813066111,0.0912816354624307,83.92747327404508,0.5374109745025635,0.9728220105171204,0.4354110360145569,0.0500000938773155,0.0500000715255737
54,32_6_0.txt,63,32.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,0.081625920056968,2.0006874924679425,0.963391661643982,True,False,-0.081625920056968,-2.0006874924679425,-0.0816258341073989,-2.000687599182129,2.002351925447375,0.5977785534858179,0.6105474875609795,0.0603919183224293,0.0583120835304833,0.0603919183224293,0.0583120835304833,90.44921407122172,0.4994502365589142,0.9731959104537964,0.4737456738948822,8.940696716308595e-08,0.0
55,36_6_0.txt,64,36.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,0.2344188496115681,2.118106462195391,0.9563921093940736,True,False,-0.2344188496115681,-2.118106462195391,-0.2344188243150711,-2.1681063175201416,2.1181637702126106,0.6590355143630644,0.6479447958436585,0.1338653185508473,0.1328472414001676,0.1075169856818281,0.1059321111213975,83.65105919502474,0.4650048911571502,0.9594423174858092,0.494437426328659,-0.2499999701976776,-0.0499999523162841
56,40_6_0.txt,65,40.0,6.0,0,6_16_0.txt,True,ok,9072,9072,8000,0.4099138668791529,2.2340279134695535,0.941819429397583,True,False,-0.4099138668791529,-2.2340279134695535,-0.3599138259887695,-2.234027862548828,1.9904620584795365,0.729478225814363,0.7121544151242154,0.1679411764299438,0.1723017091965292,0.1447088002843335,0.138296267531411,80.58057851016916,0.4399904012680053,0.9444697499275208,0.5044793486595154,-0.1999999582767486,-0.25
57,0_8_0.txt,66,0.0,8.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.093730247654879,0.8584882877599351,0.958117127418518,True,False,1.093730247654879,-0.8584882877599351,1.093730330467224,-0.808488130569458,1.3904128864679686,0.3610480121974109,0.3418925630977186,0.1081628354392447,0.1018140949582589,0.1081628354392447,0.1018140949582589,70.22044175638919,0.735536515712738,0.971225380897522,0.2356888651847839,1.1920928955078125e-07,0.0500001311302185
