frame_index,file,acquisition_order,X,Y,R,reference_file,success,fail_reason,n_ref_edges,n_mov_edges,n_used_edges,ncc_dx_ref_to_frame_px,ncc_dy_ref_to_frame_px,ncc_peak,ncc_fit_ok,ncc_edge_peak,init_align_dx_px,init_align_dy_px,refined_align_dx_px,refined_align_dy_px,refined_shift_norm_px,before_fit_chamfer_px,before_holdout_chamfer_px,init_fit_chamfer_px,init_holdout_chamfer_px,refined_fit_chamfer_px,refined_holdout_chamfer_px,holdout_improvement_pct,gradient_corr_before,gradient_corr_refined,gradient_corr_gain
0,10_0_0.txt,9,10.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.3692861691585798,2.2516141370719644,0.9482821822166443,True,False,1.3692861691585798,-2.2516141370719644,1.1192861691585798,-2.0016141370719644,2.29330780363126,0.7437531448897392,0.7220018573940785,0.17093104308796625,0.16437202569695433,0.12866782615274483,0.1233371060058248,82.91734228344156,0.5840864181518555,0.9491842985153198,0.36509788036346436
1,12_0_0.txt,10,12.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.282373497517445,2.3047176437656742,0.9508817195892334,True,False,1.282373497517445,-2.3047176437656742,1.032373497517445,-2.0547176437656742,2.299491168493231,0.7433252347829064,0.749401176382913,0.1601863855573394,0.16656862631713912,0.1141587302482552,0.11354679423622499,84.84832986461615,0.5673073530197144,0.9489542841911316,0.38164693117141724
2,14_0_0.txt,11,14.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.1913192645619621,2.3419480897158147,0.9523933529853821,True,False,1.1913192645619621,-2.3419480897158147,0.9413192645619621,-2.0919480897158147,2.293976627583882,0.7541829696580296,0.7682779606075347,0.15889493154877732,0.1574129237201978,0.12761236677864193,0.12679241328983964,83.49654424687968,0.5511050224304199,0.9503816962242126,0.3992766737937927
3,16_0_0.txt,12,16.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.1068104970930215,2.3968508606647627,0.9503874778747559,True,False,1.1068104970930215,-2.3968508606647627,1.1068104970930215,-2.1468508606647627,2.4153670723954845,0.7850701874267907,0.781233435888561,0.159840820636495,0.1546243247860055,0.1460386495341758,0.13985568614388302,82.09809261622122,0.5310069918632507,0.958327054977417,0.42732006311416626
4,18_0_0.txt,13,18.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.009308126533487,2.435732902992752,0.9476515650749207,True,False,1.009308126533487,-2.435732902992752,1.009308126533487,-2.185732902992752,2.407515569526324,0.7872857078219822,0.7834135856014738,0.15279306875167106,0.14364943998045518,0.14415713848420567,0.13534046253022533,82.72426403911335,0.5105522871017456,0.9568862915039062,0.44633400440216064
5,20_0_0.txt,14,20.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.9362802010394101,2.534275003879905,0.944662868976593,True,False,0.9362802010394101,-2.534275003879905,0.9362802010394101,-2.784275003879905,2.937483261584454,0.8114792192025353,0.8015676374424209,0.1554403048016125,0.1604179798966896,0.15177164218762937,0.15946633408557262,80.10569206681231,0.4894747734069824,0.9538362622261047,0.4643614888191223
6,24_0_0.txt,15,24.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.7654112325108505,2.63539212577753,0.949476957321167,True,False,0.7654112325108505,-2.63539212577753,1.0154112325108504,-2.88539212577753,3.058847444807959,0.8467160842239154,0.8520315914752663,0.16296503250069622,0.1634255187762,0.12686278428040268,0.1274422374243059,85.04254552303118,0.4465118646621704,0.9458678364753723,0.4993559718132019
7,28_0_0.txt,16,28.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.6171016865469282,2.756274742321563,0.9475520849227905,True,False,0.6171016865469282,-2.756274742321563,0.8671016865469282,-3.006274742321563,3.1288261634570094,0.8960011060686263,0.8748850853355963,0.16723805184986287,0.16678029505525108,0.13502165028930718,0.1356268781550583,84.4977494269395,0.4074978232383728,0.945109486579895,0.5376116633415222
8,32_0_0.txt,17,32.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.4017016854963249,2.8981989766165586,0.9481440186500549,True,False,0.4017016854963249,-2.8981989766165586,0.1517016854963249,-2.8981989766165586,2.902166554394095,0.9357392623718572,0.9361350309044617,0.15770469283433783,0.1557340859421856,0.14535317600118422,0.14132355834280333,84.90350711411138,0.3749547302722931,0.9559293985366821,0.580974668264389
9,36_0_0.txt,18,36.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.24221620984620554,3.0222784916474885,0.9601716995239258,True,False,0.24221620984620554,-3.0222784916474885,-0.007783790153794462,-3.0222784916474885,3.0222885150931864,1.00660611107935,0.9966449701380309,0.1162849666975234,0.12116061163598474,0.08664971327088233,0.0878293451366759,91.18749928326916,0.34824031591415405,0.9589146971702576,0.6106743812561035
10,40_0_0.txt,19,40.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.07685044700109846,3.124619321528131,0.9649243354797363,True,False,0.07685044700109846,-3.124619321528131,0.07685044700109846,-3.124619321528131,3.1255642523664724,1.058343595282024,1.052044747023013,0.0929772823971538,0.09324933731497084,0.0929772823971538,0.09324933731497084,91.1363715679547,0.3307710587978363,0.9729536175727844,0.6421825587749481
11,0_2_0.txt,20,0.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.6173499405313692,1.7210469052996824,0.9464839696884155,True,False,1.6173499405313692,-1.7210469052996824,1.8673499405313692,-1.9710469052996824,2.715146718557574,0.6008337788923207,0.6044819361004504,0.1708421987134106,0.1704643848313566,0.14193326725615155,0.13761927928723372,77.23351665807849,0.6306290030479431,0.9452618360519409,0.3146328330039978
12,2_2_0.txt,21,2.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.5375490845579398,1.781935154845036,0.9422652721405029,True,False,1.5375490845579398,-1.781935154845036,1.0375490845579398,-2.031935154845036,2.281505769521993,0.5962291283504146,0.6017261525436565,0.1746171992831948,0.17021591811314096,0.15980454971695587,0.15795889435628835,73.74903954422554,0.6303605437278748,0.9155617952346802,0.2852012515068054
13,4_2_0.txt,22,4.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.4127159129470308,1.8715275315986617,0.9465282559394836,True,False,1.4127159129470308,-1.8715275315986617,1.1627159129470308,-1.8715275315986617,2.203298344698699,0.6045143517082956,0.6061171210451921,0.1638844039317962,0.15659598431322377,0.15312784245989472,0.1443248704856429,76.18861677479623,0.629051148891449,0.9560762047767639,0.32702505588531494
14,6_2_0.txt,23,6.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.3140072914894256,1.9220182383461843,0.954791784286499,True,False,1.3140072914894256,-1.9220182383461843,1.0640072914894256,-1.9220182383461843,2.1968763335422485,0.6238059122977558,0.6154804609797679,0.1415557921409292,0.14491362845017822,0.1171427600944495,0.12256765935855812,80.08585696393259,0.623658299446106,0.9576619863510132,0.3340036869049072
15,8_2_0.txt,24,8.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.2302868451678968,1.9733416843246292,0.9598045945167542,True,False,1.2302868451678968,-1.9733416843246292,0.9802868451678968,-1.9733416843246292,2.203415462844534,0.6220823686433918,0.6398987500497763,0.11805665098824446,0.11404252122291857,0.08845922492452572,0.08653106818371109,86.47738127680667,0.6112374067306519,0.9596004486083984,0.3483630418777466
16,10_2_0.txt,25,10.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.1350410528984034,2.013538608997338,0.9639062881469727,True,False,1.1350410528984034,-2.013538608997338,1.1350410528984034,-2.013538608997338,2.311418595081309,0.6503225095789626,0.6421500826791295,0.08085665656842297,0.08450965994145226,0.08085665656842297,0.08450965994145226,86.83957812652339,0.600661039352417,0.9726204872131348,0.3719594478607178
17,12_2_0.txt,26,12.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.050887239951521,2.068508903903587,0.9653053879737854,True,False,1.050887239951521,-2.068508903903587,1.050887239951521,-2.068508903903587,2.320149365153318,0.6631757575206331,0.6582760220068521,0.06457460778145398,0.0710947756243587,0.06457460778145398,0.0710947756243587,89.19985336734342,0.5836327075958252,0.973125696182251,0.3894929885864258
18,14_2_0.txt,27,14.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.9609297966892827,2.1068993228302353,0.9647972583770752,True,False,0.9609297966892827,-2.1068993228302353,0.9609297966892827,-2.1068993228302353,2.3156879821573133,0.6639994880416407,0.6781697308371056,0.07771953371079952,0.07849933176473847,0.07771953371079952,0.07849933176473847,88.42482520300014,0.5661083459854126,0.9727510809898376,0.40664273500442505
19,16_2_0.txt,28,16.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.8813032655143582,2.160999706669403,0.9615570306777954,True,False,0.8813032655143582,-2.160999706669403,0.8813032655143582,-1.9109997066694029,2.104427552731815,0.6885815146188127,0.6864202743136334,0.11681305447925801,0.11266992489199154,0.11246329262490676,0.11039880439221438,83.91673315555771,0.5464005470275879,0.9617827534675598,0.4153822064399719
20,18_2_0.txt,29,18.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.7817138873053794,2.2027846832832854,0.9564791321754456,True,False,0.7817138873053794,-2.2027846832832854,1.0317138873053793,-1.9527846832832854,2.2085745548938522,0.6876455260171559,0.7017885488795524,0.14192808927483588,0.1441125402022036,0.10837257039620217,0.10949758476893592,84.39735374084468,0.5248075723648071,0.9472594857215881,0.422451913356781
21,20_2_0.txt,30,20.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.6974141591720375,2.2589586167397533,0.9492430090904236,True,False,0.6974141591720375,-2.2589586167397533,0.9474141591720375,-2.0089586167397533,2.2211502229188738,0.7180163003346235,0.7238799559163794,0.16175517093799674,0.16344788526544976,0.11584659982304314,0.11970993433887746,83.4627366926698,0.5046744346618652,0.9431082606315613,0.43843382596969604
22,24_2_0.txt,31,24.0,2.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.5016808033692396,2.421370404635292,0.9305614829063416,True,False,0.5016808033692396,-2.421370404635292,0.0016808033692395918,-2.171370404635292,2.17137105516906,0.7611429307293318,0.742255794608698,0.17387873119336456,0.1762649447374465,0.16206854351166947,0.1699272135624481,77.10665045706645,0.46451225876808167,0.919330358505249,0.45481809973716736
