track,method,label,file,shape,finite,min,max,mean,std,mean_gradient,p95_gradient,edge_density_p95,artifact_score,nrmse_to_bicubic,corr_to_bicubic,contour_chamfer_lr_px,std_ratio_to_lr,saa_uniform_synthetic_psnr_db,ibp_synthetic_psnr_db,map_tv_synthetic_psnr_db
highpass,lr_reference,LR reference,lr_reference.npy,960x1280,True,-1.6310348510742188,1.480825424194336,-2.2076466848375276e-05,0.20874202251434326,0.4945129454135895,0.9737042188644409,0.05,0.5554681420326233,0.25538429617881775,0.9679874777793884,0.022222222222222223,1.0,28.42869825864975,28.781243223905854,30.379417511619565
highpass,bicubic,Bicubic reference,bicubic_reference.npy,960x1280,True,-1.652917742729187,1.485775351524353,-2.4393237254116684e-05,0.20565108954906464,0.45210662484169006,0.8844174742698669,0.05,0.30491727590560913,0.0,1.0000001192092896,0.03793570624858995,0.9851925696223134,28.42869825864975,28.781243223905854,30.379417511619565
highpass,saa_uniform,SAA uniform,saa_uniform_highpass.npy,960x1280,True,-1.606223225593567,1.3467602729797363,1.8656526663107798e-05,0.19233383238315582,0.16132916510105133,0.44197797775268555,0.05,0.14134983718395233,0.35181766748428345,0.936076283454895,0.011111111111111112,0.9213948876534432,28.42869825864975,28.781243223905854,30.379417511619565
highpass,saa_weighted,SAA weighted,saa_weighted_highpass.npy,960x1280,True,-1.605080008506775,1.348897933959961,1.8235221432405524e-05,0.19255228340625763,0.16095158457756042,0.4426531493663788,0.050000813802083335,0.14100390672683716,0.35157349705696106,0.9361682534217834,0.011111111111111112,0.9224413996133759,28.42869825864975,28.781243223905854,30.379417511619565
highpass,ibp,IBP,ibp_highpass.npy,960x1280,True,-1.8354465961456299,1.472396731376648,2.317547841812484e-05,0.20510606467723846,0.17883911728858948,0.49865037202835083,0.05,0.14550906419754028,0.35854047536849976,0.9355636239051819,0.011111111111111112,0.9825815722521566,28.42869825864975,28.781243223905854,30.379417511619565
highpass,map_tv,MAP-TV,map_tv_highpass.npy,960x1280,True,-1.6347068548202515,1.3474222421646118,2.0552475689328276e-05,0.19511425495147705,0.13626612722873688,0.4323444962501526,0.05,0.1437276154756546,0.3542787432670593,0.9352462291717529,0.015713484026367724,0.9347147862288735,28.42869825864975,28.781243223905854,30.379417511619565
raw_control_highpass_visual,saa_weighted,SAA weighted raw,saa_weighted_raw.npy,960x1280,True,-1.610768437385559,1.351836085319519,-0.00040963132050819695,0.192632257938385,0.16201189160346985,0.44306233525276184,0.05,0.14492462575435638,0.3525073230266571,0.9358184337615967,0.011111111111111112,,28.42869825864975,28.781243223905854,30.379417511619565
raw_control_highpass_visual,ibp,IBP raw,ibp_raw.npy,960x1280,True,-1.8411349058151245,1.475334882736206,-0.0004244202864356339,0.2052346169948578,0.18034908175468445,0.49999773502349854,0.05,0.14886677265167236,0.36024215817451477,0.9349921941757202,0.011111111111111112,,28.42869825864975,28.781243223905854,30.379417511619565
raw_control_highpass_visual,map_tv,MAP-TV raw,map_tv_raw.npy,960x1280,True,-1.6547013521194458,1.3737373352050781,-0.00032452179584652185,0.19569890201091766,0.14384150505065918,0.43975669145584106,0.05,0.14324970543384552,0.3554321825504303,0.934861421585083,0.015713484026367724,,28.42869825864975,28.781243223905854,30.379417511619565
