method,n_frames,holdout_chamfer_median_px,holdout_chamfer_p90_px,gradient_corr_median,gradient_corr_p10,shift_norm_median_px,shift_norm_p90_px
data_driven_contour_refined,255,0.1341084357277113,0.16133344157348758,0.948703408241272,0.9322708010673523,1.3991092995488696,2.318907700197042
data_driven_ncc_init,255,0.15633145543747903,0.1758278512712405,0.9667654633522034,0.9602296233177186,1.409402923976428,2.382144276764694
filename_affine_fit,255,0.1707698164672409,0.20865377799117088,0.9550737738609314,0.9183205604553223,1.457012522189296,2.232257873768939
old_stage_model,255,0.24020317776875474,0.41576828202260996,0.8817317485809326,0.7094266057014466,1.5620499351813308,2.832409589767891
no_alignment,255,0.3813028096789155,0.7010848499883632,0.7022990584373474,0.5190436959266662,0.0,0.0
