strategy,label,input_alignment_csv,n_frames,mean_gradient,p95_gradient,artifact_score,artifact_ringing,artifact_blockiness,artifact_overshoot,shift_dx_span_px,shift_dy_span_px,shift_norm_median_px,shift_norm_p90_px,phase_2x_occupied_bins,phase_2x_bad_bins,phase_2x_entropy_fraction,phase_2x_min_count,phase_2x_max_count,split_half_nrmse_median,split_half_nrmse_p10,split_half_nrmse_p90,split_half_rmse_median,split_half_corr_median,split_half_psnr_db_median,rmse_to_default,nrmse_to_default,corr_to_default,mean_abs_diff_to_default,p95_abs_diff_to_default
default_contour_refined,Default contour refined,output/ep05_contour_alignment/contour_alignment_results.csv,255,0.03732932731509209,0.20079754292964935,1.5094480027910322,1.2371323108673096,1.0620930194854736,0.0013584874104708433,5.049098968505859,6.2536211013793945,1.3991092443466187,2.3189074993133545,4,0,0.9986451787527764,58,69,0.021730188732274187,0.021666962248635045,0.023784586737170002,0.01281149685382843,0.9990893646182643,47.3035984177171,0.0,0.0,1.0,0.0,0.0
ncc_init,NCC init,output/ep05_contour_alignment/contour_alignment_results.csv,255,0.038576964288949966,0.18920309841632843,1.6970727144507691,1.4286142587661743,1.0440212488174438,0.0014906286960467696,4.549098968505859,6.554384231567383,1.4094029664993286,2.3821442127227783,4,0,0.9998500083937818,62,65,0.02373323794041245,0.02360762517012126,0.024514548455579342,0.014153340831398964,0.9988977090227172,46.50095433792137,0.008898267627213697,0.030189478278148833,0.9996141853340131,0.005383758855122317,0.016488417610526083
tuned_contour_refined,Tuned contour refined,output/ep05_alignment_tuning/full_r360_e93_rad100_s0125/contour_alignment_results.csv,255,0.037483327090740204,0.20194923877716064,1.470991089940071,1.169769287109375,1.1782323122024536,0.0013327449560165405,5.006613254547119,6.120002746582031,1.4046859741210938,2.2606921195983887,4,0,0.9980094067028766,59,71,0.02506508944417851,0.02390344794370554,0.02662601634671267,0.014765714295208454,0.9987436048545414,46.02973404733334,0.006195176217109553,0.021018601111045396,0.9997793086300915,0.004105762300461103,0.0119780950830318
filename_affine_fit,Filename affine fit,output/ep05_alignment_sr_capacity/alignment_method_holdout_scores.csv,255,0.037943001836538315,0.19963161647319794,1.6721002763370052,1.4143388271331787,1.0059230327606201,0.0012561382027342916,4.330027103424072,4.822709083557129,1.4570125341415405,2.232257843017578,4,0,0.9992716309415348,60,67,0.027172403429992473,0.025208728169217775,0.028302259497051216,0.01608121395111084,0.998546317335151,45.29812661145904,0.01027411693082535,0.03485737257010736,0.9994025332532065,0.007369764049431298,0.019485370395705092
