experiment,track,lambda_tv,split_half_nrmse,artifact_score,mean_gradient,std,init_saa_std,std_excess_vs_saa,selection_proxy,n_split_a,n_split_b,selected,source_dir
default_contour_refined_psf05,highpass,0.0003,0.0273454617708921,0.1511543020606041,0.1690608710050583,0.1949050650000572,0.1926277130842209,0.0118225559519602,0.0358489813500791,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05
default_contour_refined_psf05,highpass,0.001,0.0251708775758743,0.1482153758406639,0.1664818450808525,0.1948212832212448,0.1926277130842209,0.0113876144917157,0.0334926555272447,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05
default_contour_refined_psf05,highpass,0.003,0.0209085084497928,0.1437643244862556,0.1597535610198974,0.1946019381284713,0.1926277130842209,0.0102489149283899,0.0289166378683768,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05
default_contour_refined_psf05,highpass,0.01,0.0152982333675026,0.1404771953821182,0.1446292102336883,0.193931296467781,0.1926277130842209,0.0067673719564445,0.0228634828931241,128,127,True,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05
default_contour_refined_psf05,raw,0.0003,0.0079180719330906,0.042763227596879,0.1771657094359398,0.7191105782985687,0.7184254825115204,0.0009536073033675,0.010132521897204,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05
default_contour_refined_psf05,raw,0.001,0.0072906869463622,0.0416585970669984,0.1748944967985153,0.7190863192081451,0.7184254825115204,0.0009198402794881,0.0094472040220712,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05
default_contour_refined_psf05,raw,0.003,0.0060380157083272,0.0398395098745822,0.1688167452812194,0.7190231382846832,0.7184254825115204,0.0008318966792122,0.0080965429363933,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05
default_contour_refined_psf05,raw,0.01,0.0044100931845605,0.0383338648825883,0.154716707766056,0.7188311219215393,0.7184254825115204,0.0005646228034685,0.0063719562529674,128,127,True,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05
ncc_init_psf05,highpass,0.0003,0.0275714788585901,0.1664097085595131,0.1758713200688362,0.1973681151866912,0.1949090436100959,0.0126165083520419,0.0369012849547291,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05
ncc_init_psf05,highpass,0.001,0.0253503434360027,0.1630251407623291,0.1732391342520713,0.1972793415188789,0.1949090436100959,0.0121610463264321,0.0344744841802337,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05
ncc_init_psf05,highpass,0.003,0.0207976344972848,0.1576336771249771,0.1661766991019249,0.1970482915639877,0.1949090436100959,0.0109756218298993,0.0295573680999256,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05
ncc_init_psf05,highpass,0.01,0.0144718084484338,0.1534733846783638,0.1494862511754036,0.1963532418012619,0.1949090436100959,0.0074096007266597,0.0227382457404848,128,127,True,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05
ncc_init_psf05,raw,0.0003,0.0077721900306642,0.0469471272081136,0.1832088604569435,0.7199876308441162,0.7192908227443695,0.0009687432088847,0.0101970458477806,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05
ncc_init_psf05,raw,0.001,0.0071709598414599,0.0457510091364383,0.1808191612362861,0.7199621498584747,0.7192908227443695,0.0009333180583952,0.0095331757429535,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05
ncc_init_psf05,raw,0.003,0.0059023271314799,0.0437963157892227,0.1742859184741974,0.719896137714386,0.7192908227443695,0.0008415441305187,0.0081594664513826,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05
ncc_init_psf05,raw,0.01,0.0041272351518273,0.0421777572482824,0.1586256995797157,0.7196970283985138,0.7192908227443695,0.0005647307616054,0.0062813014751698,128,127,True,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05
tuned_contour_refined_psf05,highpass,0.0003,0.0299482103437185,0.1517665982246399,0.1703912988305091,0.1945795491337776,0.1924953535199165,0.0108272515452974,0.0384027203785743,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05
tuned_contour_refined_psf05,highpass,0.001,0.028214544057846,0.1493385955691337,0.1676876842975616,0.1944964155554771,0.1924953535199165,0.0103953783765153,0.0365131041064239,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05
tuned_contour_refined_psf05,highpass,0.003,0.0248339492827653,0.1455374807119369,0.1607284769415855,0.1942769140005111,0.1924953535199165,0.0092550830345643,0.0328512299611273,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05
tuned_contour_refined_psf05,highpass,0.01,0.0203301254659891,0.1422655209898948,0.1451525539159774,0.193601943552494,0.1924953535199165,0.0057486584083341,0.0279032941881505,128,127,True,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05
tuned_contour_refined_psf05,raw,0.0003,0.0099340192973613,0.0431510396301746,0.178644374012947,0.7191449403762817,0.7185644209384918,0.0008078878119677,0.0121562023038275,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05
tuned_contour_refined_psf05,raw,0.001,0.009350448846817,0.0422013271600008,0.1762967333197593,0.7191202938556671,0.7185644209384918,0.0007735881446082,0.0115224022563857,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05
tuned_contour_refined_psf05,raw,0.003,0.0081763099879026,0.0405624862760305,0.170100636780262,0.7190564274787903,0.7185644209384918,0.0006847076281009,0.0102592109119522,128,127,False,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05
tuned_contour_refined_psf05,raw,0.01,0.0067313760519027,0.0389733891934156,0.155475802719593,0.7188620865345001,0.7185644209384918,0.0004142503961155,0.0087131855432627,128,127,True,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05
