experiment,track,method,source_dir,std_current,std_ratio_to_lr_current,mean_gradient_current,p95_gradient_current,artifact_score_current,contour_chamfer_lr_px_current,nrmse_to_bicubic_current,corr_to_bicubic_current,std_baseline,std_ratio_to_lr_baseline,mean_gradient_baseline,p95_gradient_baseline,artifact_score_baseline,contour_chamfer_lr_px_baseline,nrmse_to_bicubic_baseline,corr_to_bicubic_baseline,std_delta_vs_baseline,std_ratio_to_lr_delta_vs_baseline,mean_gradient_delta_vs_baseline,p95_gradient_delta_vs_baseline,artifact_score_delta_vs_baseline,contour_chamfer_lr_px_delta_vs_baseline,nrmse_to_bicubic_delta_vs_baseline,corr_to_bicubic_delta_vs_baseline
default_contour_refined_psf05,highpass,lr_reference,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05,0.2087420225143432,1.0,0.4945129454135895,0.9737042188644408,0.5554681420326233,0.0222222222222222,0.2553842961788177,0.9679874777793884,0.2087420225143432,1.0,0.4945129454135895,0.9737042188644408,0.5554681420326233,0.0222222222222222,0.2553842961788177,0.9679874777793884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default_contour_refined_psf05,highpass,bicubic,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05,0.2056510895490646,0.9851925696223134,0.45210662484169,0.8844174742698669,0.3049172759056091,0.0379357062485899,0.0,1.0000001192092896,0.2056510895490646,0.9851925696223134,0.45210662484169,0.8844174742698669,0.3049172759056091,0.0379357062485899,0.0,1.0000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default_contour_refined_psf05,highpass,saa_uniform,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05,0.1923338323831558,0.9213948876534432,0.1613291651010513,0.4419779777526855,0.1413498371839523,0.0111111111111111,0.3518176674842834,0.936076283454895,0.1923338323831558,0.9213948876534432,0.1613291651010513,0.4419779777526855,0.1413498371839523,0.0111111111111111,0.3518176674842834,0.936076283454895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default_contour_refined_psf05,highpass,saa_weighted,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05,0.1925522834062576,0.922441399613376,0.1609515845775604,0.4426531493663788,0.1410039067268371,0.0111111111111111,0.351573497056961,0.9361682534217834,0.1925522834062576,0.922441399613376,0.1609515845775604,0.4426531493663788,0.1410039067268371,0.0111111111111111,0.351573497056961,0.9361682534217834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default_contour_refined_psf05,highpass,ibp,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05,0.1981534212827682,0.9492742232539813,0.1718982458114624,0.4483434855937958,0.1531280577182769,0.0111111111111111,0.3535273969173431,0.935840904712677,0.2051060646772384,0.9825815722521566,0.1788391172885894,0.4986503720283508,0.1455090641975402,0.0111111111111111,0.3585404753684997,0.935563623905182,-0.006952643394470215,-0.033307348998175335,-0.006940871477126992,-0.050306886434555,0.007618993520736694,0.0,-0.005013078451156616,0.00027728080749500617
default_contour_refined_psf05,highpass,map_tv,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05,0.195114254951477,0.9347147862288736,0.1362661272287368,0.4323444962501526,0.1437276154756546,0.0157134840263677,0.3542787432670593,0.9352462291717528,0.195114254951477,0.9347147862288736,0.1362661272287368,0.4323444962501526,0.1437276154756546,0.0157134840263677,0.3542787432670593,0.9352462291717528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default_contour_refined_psf05,raw_control_highpass_visual,saa_weighted,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05,0.192632257938385,,0.1620118916034698,0.4430623352527618,0.1449246257543563,0.0111111111111111,0.3525073230266571,0.9358184337615968,0.192632257938385,,0.1620118916034698,0.4430623352527618,0.1449246257543563,0.0111111111111111,0.3525073230266571,0.9358184337615968,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
default_contour_refined_psf05,raw_control_highpass_visual,ibp,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05,0.1983417123556137,,0.1739237010478973,0.4574829041957855,0.156868427991867,0.0111111111111111,0.3559992015361786,0.9349602460861206,0.2052346169948578,,0.1803490817546844,0.4999977350234985,0.1488667726516723,0.0111111111111111,0.3602421581745147,0.9349921941757202,-0.00689290463924408,,-0.006425380706787082,-0.04251483082771296,0.008001655340194702,0.0,-0.004242956638336126,-3.1948089599609375e-05
default_contour_refined_psf05,raw_control_highpass_visual,map_tv,output/ep06_sr_poc_data_driven_align_sweep/default_contour_refined_psf05,0.1956989020109176,,0.1438415050506591,0.439756691455841,0.1432497054338455,0.0157134840263677,0.3554321825504303,0.934861421585083,0.1956989020109176,,0.1438415050506591,0.439756691455841,0.1432497054338455,0.0157134840263677,0.3554321825504303,0.934861421585083,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ncc_init_psf05,highpass,lr_reference,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05,0.2087420225143432,1.0,0.4945129454135895,0.9737042188644408,0.5554681420326233,0.0222222222222222,0.2553842961788177,0.9679874777793884,0.2087420225143432,1.0,0.4945129454135895,0.9737042188644408,0.5554681420326233,0.0222222222222222,0.2553842961788177,0.9679874777793884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
