contour,ep06_role,n_segments,median_split_half_px,median_crb_ratio,median_pass_rate
inner,alignment_input,40,0.0192329372978585,1.313282308425321,1.0
inner,holdout_validation,43,0.0254361163086517,1.793738956885008,0.6923076923076923
inner,sr_target_not_truth,303,0.0339747179122344,2.3872471402703077,0.0
outer,alignment_input,26,0.01907964690951705,1.2761018881890314,1.0
outer,holdout_validation,19,0.0262553108719304,1.793564660020469,0.7692307692307693
outer,sr_target_not_truth,39,0.0524032755167063,1.9123463576524824,0.1538461538461538
