grid_label,sigma_psf_px,min_effective_snr,median_effective_snr,max_effective_snr,pass_3x_fraction,pass_5x_fraction
1x,0.2,2.46260615224662,9.637270853635481,28.23212210520237,0.8333333333333334,0.6666666666666666
1x,0.35,1.639020847130339,6.414216022379319,18.790270887182412,0.6666666666666666,0.6666666666666666
1x,0.5,0.8736387996420626,3.4189363706065983,10.01568084479758,0.5,0.3333333333333333
2x,0.2,1.3621222161817348,5.330588783399975,15.615814446970663,0.6666666666666666,0.5
2x,0.35,0.26728472858180685,1.04600377207429,3.064239520108916,0.16666666666666666,0.0
2x,0.5,0.021575650067479104,0.08443509464713277,0.24735030676687209,0.0,0.0
4x,0.2,0.12749716885608758,0.49895300887511246,1.4616692303512904,0.0,0.0
4x,0.35,0.0001890309075243846,0.0007397618388385217,0.002167112129569305,0.0,0.0
4x,0.5,8.025863973222729e-09,3.1408767851009756e-08,9.201112873248315e-08,0.0,0.0
