method,split_mode,seed,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
tgv_x_maptv,cross_method_pair,-1,0.0020089285714285712,497.7777777777778,0.999985561698077,0.14285714285714285,0.28702018719502587,140,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.002120535714285714,471.5789473684211,0.9999781529788239,0.14285714285714285,0.2757709533720164,174,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.002232142857142857,448.0,0.9999830839174995,0.14285714285714285,0.27520913338899333,176,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.00234375,426.6666666666667,0.9999889751287265,0.14285714285714285,0.273051000260408,184,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.002455357142857143,407.2727272727273,0.9999684646308318,0.14285714285714285,0.2705369635786124,194,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0025669642857142857,389.5652173913044,0.9999739166214663,0.14285714285714285,0.269116846861646,200,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0026785714285714286,373.3333333333333,0.9999527383413817,0.14285714285714285,0.26731663903915925,208,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0027901785714285715,358.4,0.999819674754814,0.14285714285714285,0.2668822084027434,210,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0029017857142857144,344.6153846153846,0.9998769529389095,0.14285714285714285,0.26173150991010213,236,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.003013392857142857,331.8518518518519,0.9999032865246148,0.14285714285714285,0.2632250986856457,228,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0031249999999999997,320.0,0.9998439702666122,0.14285714285714285,0.2613695641695868,238,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0032366071428571426,308.96551724137936,0.9999506850462366,0.14285714285714285,0.2576597972433477,260,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0033482142857142855,298.6666666666667,0.9998995345569968,0.14285714285714285,0.2586250244740691,254,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0034598214285714284,289.03225806451616,0.9999523098697898,0.14285714285714285,0.25523709705862524,276,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0035714285714285713,280.0,0.9999435574933662,0.14285714285714285,0.25582326430374547,272,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.003683035714285714,271.5151515151515,0.9999507321996925,0.14285714285714285,0.2527449491574839,294,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.003794642857142857,263.5294117647059,0.9999575997745889,0.14285714285714285,0.25410107451462977,284,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.00390625,256.0,0.9998748229254866,0.14285714285714285,0.2514544516681247,304,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0040178571428571425,248.8888888888889,0.999863145864138,0.14285714285714285,0.24928083583453234,322,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.004129464285714286,242.16216216216216,0.9998408855294147,0.14285714285714285,0.2514544516681247,304,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.004241071428571428,235.78947368421055,0.9997886824376491,0.14285714285714285,0.24905026945843273,324,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.004352678571428572,229.74358974358972,0.9997352290037782,0.14285714285714285,0.24582376798178943,354,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.004464285714285714,224.0,0.999859670673408,0.14285714285714285,0.24770924671322134,336,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.004575892857142857,218.53658536585365,0.9995873924268031,0.14285714285714285,0.24643640318775006,348,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0046875,213.33333333333334,0.999408833365649,0.14285714285714285,0.24426173259637654,370,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.004799107142857142,208.37209302325584,0.9997198828432798,0.14285714285714285,0.24407341871811294,372,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.004910714285714286,203.63636363636365,0.9997182554523353,0.14285714285714285,0.24388657961491628,374,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.005022321428571428,199.11111111111114,0.9996815997051371,0.14285714285714285,0.24124866466885456,404,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.005133928571428571,194.7826086956522,0.9998712789991082,0.14285714285714285,0.24226832878047586,392,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.005245535714285714,190.63829787234044,0.9998566207627125,0.14285714285714285,0.2427954615022515,386,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.005357142857142857,186.66666666666666,0.9998117146938812,0.14285714285714285,0.23964416299559071,424,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.00546875,182.85714285714286,0.9996755138248491,0.14285714285714285,0.24027239659586974,416,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.005580357142857143,179.2,0.9993285156507855,0.14285714285714285,0.2388828626474958,434,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0056919642857142854,175.68627450980392,0.999609489856,0.14285714285714285,0.2384383044776066,440,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.005803571428571429,172.3076923076923,0.9996768362966076,0.14285714285714285,0.23757528612232023,452,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.005915178571428571,169.05660377358492,0.9993438686682106,0.14285714285714285,0.23688135961430892,462,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.006026785714285714,165.92592592592595,0.9993491556602996,0.14285714285714285,0.23785919155913984,448,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.006138392857142857,162.9090909090909,0.9994909943572958,0.14285714285714285,0.23517586182327832,488,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.0062499999999999995,160.0,0.9996370023140115,0.14285714285714285,0.23607716377209612,474,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.006361607142857143,157.19298245614036,0.9996837904340656,0.14285714285714285,0.23568617177506457,480,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.006473214285714285,154.48275862068968,0.9996187555926805,0.14285714285714285,0.23359868826190747,514,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.006584821428571429,151.864406779661,0.9988954613880858,0.14285714285714285,0.23348222347930858,516,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.006696428571428571,149.33333333333334,0.9993486357704033,0.14285714285714285,0.23467767886949623,496,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.006808035714285714,146.88524590163934,0.99946275576136,0.14285714285714285,0.23246304055541317,534,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.006919642857142857,144.51612903225808,0.9996252804687183,0.14285714285714285,0.23191835858106052,544,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.00703125,142.22222222222223,0.9996244405468686,0.14285714285714285,0.23348222347930858,516,10.0,20.0
tgv_x_maptv,cross_method_pair,-1,0.007142857142857143,140.0,0.9995514853342694,0.14285714285714285,0.23118003674182988,558,10.0,20.0
