arm,output_dir,checkpoint_step,solver_dc_shift_jitter_std_px,tb_event_file,eval_synth_psnr,eval_synth_region_rmse,eval_synth_boundary_f1,eval_synth_out_of_band_ratio,eval_real_artifact_score,eval_real_out_of_band_ratio,eval_real_dc_resid_band,eval_real_dc_resid_full,notes
C_no_DR,algos/ep07_unet_sr/outputs/solver_v13_v6_nodr_ctrl,20000,0.0,algos/ep07_unet_sr/outputs/solver_v13_v6_nodr_ctrl/tb_logs/events.out.tfevents.1783003773.WIN-F4OAI123I7E.154807.0,31.263547897338867,0.1717926412820816,0.8245149850845337,0.042927686125040054,0.42530134320259094,0.00169058283790946,1.2409149408340454,1.5267571210861206,"Corrected audit value; previous REPORT.md used mismatched Task C numbers."
D_DR_0p1,algos/ep07_unet_sr/outputs/solver_v13_v6_dr01,20000,0.1,algos/ep07_unet_sr/outputs/solver_v13_v6_dr01/tb_logs/events.out.tfevents.1783007182.WIN-F4OAI123I7E.162036.0,31.230627059936523,0.17665639519691467,0.8246283531188965,0.041908323764801025,0.4194955825805664,0.0017007972346618772,1.2405568361282349,1.5280646085739136,"Matches original Task D report within rounding."
