frame_index,file,acquisition_order,phase_bin_2x,split,shift_dx_lr_px,shift_dy_lr_px
0,10_0_0.txt,9,2,a,1.3692863,-2.251614
1,12_0_0.txt,10,2,a,1.2823737,-2.2547176
2,14_0_0.txt,11,0,a,1.2413194,-2.291948
3,16_0_0.txt,12,1,b,1.1568105,-2.3968508
4,18_0_0.txt,13,1,a,1.0093082,-2.4357328
5,20_0_0.txt,14,1,a,0.8862803,-2.4842749
6,24_0_0.txt,15,1,a,0.76541126,-2.635392
7,28_0_0.txt,16,3,b,0.61710167,-2.7562745
8,32_0_0.txt,17,2,b,0.40170184,-2.848199
9,36_0_0.txt,18,2,a,0.24221636,-3.0222785
10,40_0_0.txt,19,2,a,0.12685055,-3.1746192
11,0_2_0.txt,20,0,b,1.61735,-1.7210468
12,2_2_0.txt,21,2,b,1.4375494,-1.7819351
13,4_2_0.txt,22,2,a,1.412716,-1.8215275
14,6_2_0.txt,23,2,a,1.2640074,-1.8720182
15,8_2_0.txt,24,2,b,1.230287,-1.9233416
16,10_2_0.txt,25,2,b,1.1850411,-2.0135386
17,12_2_0.txt,26,2,a,1.0508873,-2.0685089
18,14_2_0.txt,27,3,b,0.9609299,-2.1568992
19,16_2_0.txt,28,1,b,0.83130336,-2.2109997
20,18_2_0.txt,29,1,a,0.78171384,-2.2527847
21,20_2_0.txt,30,1,a,0.74741423,-2.2589586
22,24_2_0.txt,31,1,a,0.40168098,-2.3213704
23,28_2_0.txt,32,0,a,0.28120875,-2.416089
24,32_2_0.txt,33,2,b,0.22900645,-2.6583004
25,36_2_0.txt,34,2,a,0.008373033,-2.7662702
26,40_2_0.txt,35,2,a,-0.19448277,-2.8324912
27,0_4_0.txt,36,0,a,1.3127972,-1.4008967
28,2_4_0.txt,37,0,a,1.2408205,-1.5614322
29,4_4_0.txt,38,2,b,1.238644,-1.610283
30,6_4_0.txt,39,2,a,1.1034226,-1.6679962
31,8_4_0.txt,40,2,b,1.0084735,-1.712645
32,10_4_0.txt,41,2,a,0.87668407,-1.7647392
33,12_4_0.txt,42,3,a,0.78013587,-1.7452321
34,14_4_0.txt,43,3,b,0.75027883,-1.8012052
35,16_4_0.txt,44,3,a,0.6550194,-1.8375572
36,18_4_0.txt,45,1,b,0.5704901,-1.9427326
37,20_4_0.txt,46,1,b,0.42877454,-1.9680938
38,24_4_0.txt,47,1,b,0.27058488,-2.1400142
39,28_4_0.txt,48,0,a,0.16095942,-2.2435977
40,32_4_0.txt,49,2,b,-0.04465011,-2.358455
41,36_4_0.txt,50,2,a,-0.25159267,-2.601477
42,40_4_0.txt,51,2,b,-0.30440706,-2.6690478
43,0_6_0.txt,52,0,a,1.1891905,-1.2225443
44,2_6_0.txt,53,0,b,1.061441,-1.2743075
45,4_6_0.txt,54,0,b,0.9707382,-1.3165888
46,6_6_0.txt,55,2,a,0.83416593,-1.3697679
47,8_6_0.txt,56,2,b,0.7845355,-1.416108
48,10_6_0.txt,57,3,a,0.75586736,-1.5894097
49,12_6_0.txt,58,3,b,0.66094565,-1.6191572
50,18_6_0.txt,59,3,b,0.5264183,-1.6199777
51,20_6_0.txt,60,1,a,0.431748,-1.6616148
52,24_6_0.txt,61,0,a,0.23208703,-1.7228293
53,28_6_0.txt,62,0,b,0.12988248,-1.8480788
54,32_6_0.txt,63,0,a,-0.081625834,-2.0006876
55,36_6_0.txt,64,2,a,-0.23441882,-2.1681063
56,40_6_0.txt,65,3,b,-0.35991383,-2.2340279
57,0_8_0.txt,66,0,a,1.0937303,-0.80848813
58,2_8_0.txt,67,0,a,1.0252894,-0.91643286
59,4_8_0.txt,68,0,a,0.89021623,-0.96284294
60,6_8_0.txt,69,0,a,0.8013439,-1.0028951
61,8_8_0.txt,70,3,a,0.7683245,-1.1074241
62,10_8_0.txt,71,3,a,0.66953254,-1.1484345
63,12_8_0.txt,72,3,b,0.5847024,-1.2055465
64,14_8_0.txt,73,3,a,0.4497908,-1.2397752
65,16_8_0.txt,74,3,a,0.36818817,-1.2407357
66,18_8_0.txt,75,3,b,0.2701779,-1.2790546
67,20_8_0.txt,76,3,a,0.24231535,-1.3777671
68,24_8_0.txt,77,0,b,0.026004694,-1.5861404
69,28_8_0.txt,78,0,a,-0.1615258,-1.6482261
70,32_8_0.txt,79,0,b,-0.2746486,-1.7473505
71,36_8_0.txt,80,3,a,-0.4266748,-1.8166595
72,40_8_0.txt,81,3,a,-0.64789295,-1.9608155
73,0_10_0.txt,82,0,a,0.8527496,-0.6064403
74,2_10_0.txt,83,0,a,0.77501667,-0.71507907
75,4_10_0.txt,84,1,a,0.74191463,-0.7576636
76,6_10_0.txt,85,1,b,0.64899385,-0.7438642
77,8_10_0.txt,86,1,a,0.514475,-0.79899395
78,10_10_0.txt,87,3,b,0.43036497,-0.82925344
79,12_10_0.txt,88,3,a,0.33985814,-0.88322425
80,14_10_0.txt,89,3,a,0.24407534,-0.928233
81,16_10_0.txt,90,3,b,0.21671186,-1.0304323
82,18_10_0.txt,91,3,b,0.075319305,-1.0737797
83,20_10_0.txt,92,2,b,-0.005231063,-1.1744308
84,24_10_0.txt,93,0,a,-0.22305313,-1.2290801
85,28_10_0.txt,94,0,b,-0.28480157,-1.3635564
86,32_10_0.txt,95,0,a,-0.51263773,-1.54557
87,36_10_0.txt,96,1,b,-0.65519273,-1.6454275
88,40_10_0.txt,97,3,b,-0.78758514,-1.7641996
89,0_12_0.txt,98,0,a,0.676975,-0.3199582
90,2_12_0.txt,99,1,b,0.59441054,-0.38967425
91,4_12_0.txt,100,1,b,0.41550466,-0.4021784
92,6_12_0.txt,101,1,b,0.37301287,-0.44078863
93,8_12_0.txt,102,1,a,0.29599375,-0.583822
94,10_12_0.txt,103,1,b,0.24593271,-0.6359525
95,12_12_0.txt,104,3,b,0.1550394,-0.6931515
96,14_12_0.txt,105,3,a,0.060524102,-0.73445535
97,16_12_0.txt,106,3,b,-0.018786151,-0.7384517
98,18_12_0.txt,107,2,a,-0.16219291,-0.7735206
99,20_12_0.txt,108,2,b,-0.24227372,-0.82893026
100,24_12_0.txt,109,2,b,-0.36072373,-0.9810933
101,28_12_0.txt,110,0,a,-0.56074154,-1.1391666
102,32_12_0.txt,111,1,b,-0.72559834,-1.2435497
103,36_12_0.txt,112,1,b,-0.8283229,-1.3584919
104,40_12_0.txt,113,3,a,-0.99513257,-1.5685773
105,0_14_0.txt,114,1,b,0.5452453,-0.15187521
106,2_14_0.txt,115,1,a,0.37184715,-0.21338905
107,4_14_0.txt,116,1,a,0.28742456,-0.21174614
108,6_14_0.txt,117,1,b,0.24963807,-0.25225872
109,8_14_0.txt,118,1,b,0.12104631,-0.30516496
110,10_14_0.txt,119,1,b,0.024429565,-0.34558228
111,12_14_0.txt,120,1,a,-0.056718577,-0.39913046
112,14_14_0.txt,121,3,b,-0.20662886,-0.44392094
113,16_14_0.txt,122,2,a,-0.22519046,-0.52775156
114,18_14_0.txt,123,2,b,-0.3204546,-0.56193066
115,20_14_0.txt,124,2,a,-0.4021504,-0.6644987
116,24_14_0.txt,125,2,a,-0.60474753,-0.7521292
117,28_14_0.txt,126,0,b,-0.7279633,-0.8188739
118,32_14_0.txt,127,1,a,-0.88013947,-0.99087393
119,36_14_0.txt,128,1,b,-1.0946256,-1.0952383
120,40_14_0.txt,129,3,a,-1.245754,-1.219781
121,0_16_0.txt,130,3,a,0.2412026,0.19936441
122,2_16_0.txt,131,1,a,0.16957003,0.09254756
123,4_16_0.txt,132,1,a,0.076458625,0.056185342
124,6_16_0.txt,133,1,b,-0.049999923,8.940697e-08
125,8_16_0.txt,134,1,b,-0.14301878,-0.034253284
126,10_16_0.txt,135,1,a,-0.22459128,-0.13870448
127,12_16_0.txt,136,1,a,-0.26685408,-0.17737067
128,14_16_0.txt,137,0,b,-0.3504634,-0.23834053
129,18_16_0.txt,138,2,b,-0.45270127,-0.23618108
130,20_16_0.txt,139,2,a,-0.5468874,-0.25380814
131,24_16_0.txt,140,2,a,-0.72716594,-0.43263322
132,28_16_0.txt,141,3,b,-0.8139875,-0.58416164
133,32_16_0.txt,142,1,b,-1.033394,-0.69668746
134,36_16_0.txt,143,1,b,-1.1837807,-0.76389384
135,40_16_0.txt,144,1,b,-1.2964302,-0.9144416
136,0_18_0.txt,145,3,a,0.1422995,0.45201576
137,2_18_0.txt,146,3,a,0.014721155,0.38446498
138,4_18_0.txt,147,1,a,-0.065182745,0.28386456
139,6_18_0.txt,148,1,b,-0.1580326,0.24421796
140,8_18_0.txt,149,1,b,-0.23626229,0.24215573
141,10_18_0.txt,150,0,b,-0.2809431,0.20812196
142,12_18_0.txt,151,0,b,-0.41051903,0.14941938
143,14_18_0.txt,152,0,a,-0.50702626,0.115779586
144,16_18_0.txt,153,0,a,-0.58722305,0.05697417
