frame_index,file,acquisition_order,phase_bin_2x,split,shift_dx_lr_px,shift_dy_lr_px
145,18_18_0.txt,154,2,b,-0.6856097,-0.019706814
146,20_18_0.txt,155,2,b,-0.7661544,-0.07137064
147,24_18_0.txt,156,2,b,-0.8899002,-0.16546091
148,28_18_0.txt,157,3,a,-1.1019967,-0.26815352
149,32_18_0.txt,158,1,a,-1.2621475,-0.39878428
150,36_18_0.txt,159,1,a,-1.3783894,-0.60626435
151,40_18_0.txt,160,0,b,-1.5667307,-0.68355715
152,0_20_0.txt,161,3,b,-0.13291153,0.7517384
153,2_20_0.txt,162,3,a,-0.20661741,0.6423675
154,4_20_0.txt,163,3,a,-0.25831676,0.60145617
155,6_20_0.txt,164,1,a,-0.3457814,0.5373472
156,8_20_0.txt,165,0,a,-0.4403708,0.5055829
157,10_20_0.txt,166,0,b,-0.5150682,0.40596503
158,12_20_0.txt,167,0,b,-0.65813243,0.3956617
159,14_20_0.txt,168,0,b,-0.74778044,0.3319657
160,16_20_0.txt,169,0,b,-0.7488444,0.28756917
161,18_20_0.txt,170,0,b,-0.8280729,0.22842504
162,20_20_0.txt,171,2,b,-0.97762394,0.2416818
163,24_20_0.txt,172,3,a,-1.1191798,0.075363606
164,28_20_0.txt,173,3,a,-1.2353864,-0.03190957
165,32_20_0.txt,174,1,a,-1.3957431,-0.20643406
166,36_20_0.txt,175,1,b,-1.5843513,-0.247639
167,40_20_0.txt,176,0,a,-1.7330117,-0.4204294
168,0_24_0.txt,177,3,a,-0.24811168,0.8687097
169,2_24_0.txt,178,3,b,-0.27321976,0.7609174
170,4_24_0.txt,179,2,a,-0.42111576,0.7673799
171,6_24_0.txt,180,2,a,-0.5102294,0.749666
172,8_24_0.txt,181,2,b,-0.58269,0.6704923
173,10_24_0.txt,182,0,b,-0.7102488,0.6210413
174,12_24_0.txt,183,0,a,-0.7521565,0.58546627
175,14_24_0.txt,184,0,b,-0.7846223,0.52983713
176,16_24_0.txt,185,0,b,-0.8680272,0.45425862
177,18_24_0.txt,186,0,b,-1.0053849,0.39569223
178,20_24_0.txt,187,1,b,-1.0966948,0.35661444
179,24_24_0.txt,188,3,b,-1.2757077,0.26906618
180,28_24_0.txt,189,3,a,-1.3710102,0.15161961
181,32_24_0.txt,190,3,b,-1.5712191,0.007129108
182,36_24_0.txt,191,0,b,-1.7299335,-0.11415964
183,40_24_0.txt,192,0,a,-1.9000099,-0.21745208
184,0_28_0.txt,193,2,b,-0.3941655,1.0603912
185,2_28_0.txt,194,2,a,-0.46513522,1.0014888
186,4_28_0.txt,195,2,a,-0.5995625,0.93721247
187,6_28_0.txt,196,2,b,-0.6444354,0.8667196
188,8_28_0.txt,197,2,b,-0.72671247,0.8116865
189,10_28_0.txt,198,2,a,-0.7697983,0.7772243
190,12_28_0.txt,199,2,b,-0.8458885,0.7229011
191,14_28_0.txt,200,1,b,-0.99151576,0.7367704
192,16_28_0.txt,201,1,a,-1.0712937,0.67952836
193,18_28_0.txt,202,1,a,-1.1713948,0.590842
194,20_28_0.txt,203,1,b,-1.254935,0.47755688
195,24_28_0.txt,204,1,a,-1.3645875,0.4082167
196,28_28_0.txt,205,3,b,-1.5026199,0.2904161
197,32_28_0.txt,206,2,b,-1.6939102,0.22121218
198,36_28_0.txt,207,2,b,-1.8015283,0.046567097
199,40_28_0.txt,208,0,b,-2.0198596,-0.0498329
200,0_32_0.txt,209,0,b,-0.579456,1.2457812
201,2_32_0.txt,210,0,a,-0.634707,1.1868137
202,4_32_0.txt,211,2,b,-0.72139716,1.1246052
203,6_32_0.txt,212,2,b,-0.76590943,1.0816438
204,8_32_0.txt,213,2,b,-0.7892281,0.97974706
205,10_32_0.txt,214,3,b,-0.89085174,0.9434321
206,12_32_0.txt,215,3,b,-1.0135005,0.8867222
207,14_32_0.txt,216,3,b,-1.109672,0.8519871
208,16_32_0.txt,217,1,a,-1.1886379,0.79154253
209,18_32_0.txt,218,1,b,-1.2327522,0.752892
210,20_32_0.txt,219,1,a,-1.323631,0.73730326
211,24_32_0.txt,220,1,b,-1.4860318,0.5747678
212,28_32_0.txt,221,0,a,-1.6758235,0.54875576
213,32_32_0.txt,222,2,a,-1.8129244,0.32900333
214,36_32_0.txt,223,2,a,-1.972658,0.20795801
215,40_32_0.txt,224,3,b,-2.1426687,0.107213154
216,0_36_0.txt,225,0,a,-0.67496574,1.3657321
217,2_36_0.txt,226,0,b,-0.75514925,1.2958211
218,4_36_0.txt,227,0,b,-0.7870345,1.2348925
219,6_36_0.txt,228,3,a,-0.8345299,1.2417765
220,8_36_0.txt,229,3,b,-0.96177924,1.1900153
221,10_36_0.txt,230,3,b,-1.0584702,1.1506575
222,12_36_0.txt,231,3,a,-1.1294221,1.0471313
223,14_36_0.txt,232,3,b,-1.2248318,1.0105063
224,16_36_0.txt,233,3,b,-1.2556522,0.95462716
225,18_36_0.txt,234,3,a,-1.3554192,0.91892326
226,20_36_0.txt,235,0,b,-1.4595793,0.813481
227,24_36_0.txt,236,0,a,-1.642871,0.7764703
228,28_36_0.txt,237,0,a,-1.7606789,0.6783143
229,32_36_0.txt,238,0,b,-1.9193964,0.5094385
230,36_36_0.txt,239,3,a,-2.1296692,0.41166857
231,40_36_0.txt,240,3,b,-2.28504,0.2431039
232,0_40_0.txt,241,0,b,-0.7831167,1.5648046
233,2_40_0.txt,242,1,a,-0.80053043,1.5059453
234,4_40_0.txt,243,1,a,-0.89384484,1.4178336
235,6_40_0.txt,244,1,b,-1.0177234,1.3735489
236,8_40_0.txt,245,1,a,-1.1101787,1.3360871
237,10_40_0.txt,246,3,a,-1.1894152,1.285796
238,12_40_0.txt,247,3,a,-1.2362831,1.2479212
239,14_40_0.txt,248,3,b,-1.3128976,1.1952937
240,16_40_0.txt,249,2,a,-1.4156734,1.1596322
241,18_40_0.txt,250,2,a,-1.5131457,1.1054373
242,20_40_0.txt,251,2,a,-1.6173495,1.064706
243,24_40_0.txt,252,0,b,-1.7764461,0.8959595
244,28_40_0.txt,253,0,b,-1.8938898,0.79858804
245,32_40_0.txt,254,1,b,-2.0992827,0.6758263
246,36_40_0.txt,255,1,a,-2.2382896,0.55897784
247,40_40_0.txt,256,3,a,-2.395862,0.39028186
