pair,offset_dx_hr_px,offset_dy_hr_px,offset_norm_hr_px,offset_dx_um,offset_dy_um,cutoff_1_7_before_um,cutoff_1_7_after_um,sign_changes_45_21um_before,sign_changes_45_21um_after,frc_at_30um_before,frc_at_30um_after,frc_at_24um_before,frc_at_24um_after,source_file
v11_new_vs_drz,0.5872257186941043,0.4001244154698704,0.71058679452331,5.872257186941043,4.001244154698703,29.96655518394649,22.798982188295167,26,0,0.1402581178683276,0.669822261928054,0.2145451767495505,0.3853227043621758,summary/task3_rerender_offset_probe_summary.csv
c_nodr_new_vs_drz,0.5643377864001392,0.3983763616081153,0.6907827897734056,5.643377864001392,3.983763616081153,26.666666666666668,25.38243626062323,21,0,0.2088361381410343,0.6695238046197446,0.2290062179569447,0.3895083568342163,summary/task3_rerender_offset_probe_summary.csv
d_dr01_new_vs_drz,0.5831915399100854,0.4068461813305839,0.7110809992440912,5.831915399100854,4.06846181330584,26.666666666666668,25.454545454545457,23,0,0.2077730828287344,0.6803125341656955,0.221817484566748,0.3847109206609618,summary/task3_rerender_offset_probe_summary.csv
tgv_new_vs_drz,-0.0035712741199324,0.0039384006974855,0.0053164836963592,-0.0357127411993242,0.0393840069748558,21.384248210023863,21.384248210023863,0,0,0.7447098959692682,0.7447778891347496,0.4166248842480012,0.4168926707820897,summary/task3_rerender_offset_probe_summary.csv
maptv_new_vs_drz,0.0043754450499284,-0.0053209795582189,0.0068889290055804,0.0437544504992845,-0.0532097955821897,20.0,20.0,0,0,0.9077863681322784,0.907754370992962,0.7286804849602908,0.7287919404110322,summary/task3_rerender_offset_probe_summary.csv
v11_new_vs_tgv,0.6463044722123304,0.3094964654228337,0.7165874216806254,6.463044722123304,3.0949646542283378,29.96655518394649,20.0,28,0,0.1472633111147461,0.8598287593794142,0.3984258252121766,0.8075591857437474,summary/task3_rerender_offset_probe_summary.csv
