pair,status,path_a,path_b,scale,hr_pitch_um,offset_dx_hr_px,offset_dy_hr_px,offset_norm_hr_px,offset_dx_um,offset_dy_um,phase_corr_peak,cutoff_1_7_before_um,cutoff_1_7_after_um,sign_changes_45_21um_before,sign_changes_45_21um_after,frc_at_40um_before,frc_at_33um_before,frc_at_30um_before,frc_at_27um_before,frc_at_24um_before,frc_at_40um_after,frc_at_33um_after,frc_at_30um_after,frc_at_27um_after,frc_at_24um_after
v11_vs_drz,success,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0c_frc_recons/v11_a.npy,2,10.0,0.5997838060113975,0.3474825338073599,0.6931700550764586,5.997838060113975,3.474825338073599,0.22363199567575423,30.06711409395973,25.821325648414984,14,0,0.6145748908658466,0.3700055690806867,0.1130647143179969,0.15149769991007095,0.09745595266777626,0.8149701343494611,0.7374114154322553,0.5345897550538395,0.32982766412022324,0.17906715886856825
c_nodr_vs_drz,success,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0c_frc_recons/C_nodr_a.npy,2,10.0,0.5378684442418925,0.31038657238518774,0.6210010367368313,5.378684442418925,3.1038657238518774,0.2347064063145544,26.666666666666668,25.821325648414984,2,0,0.6691597829213392,0.44077457395302544,0.18451290861178446,0.17059002785147973,0.10314093776409865,0.8293188702976236,0.7549230254997068,0.5248541105764492,0.31812842377666706,0.18570310086935343
d_dr01_vs_drz,success,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0c_frc_recons/D_dr01_a.npy,2,10.0,0.5306012940612757,0.3359356113705244,0.6280051498565823,5.3060129406127565,3.3593561137052443,0.24006848330431135,26.826347305389223,25.821325648414984,4,0,0.6783642434050046,0.4542426246887205,0.19890895853743015,0.16682562040995802,0.10287323301049273,0.8289855730079023,0.7616021889121073,0.5481402045886784,0.3209386582372109,0.18639911327477296
tgv_vs_drz,success,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0c_frc_recons/tgv_a.npy,2,10.0,-0.018270216182871453,-0.015285874003548031,0.023821392558395982,-0.18270216182871452,-0.1528587400354803,0.28791878062816695,25.454545454545457,25.454545454545457,0,0,0.8896657374790831,0.8050737751530566,0.5901539755649239,0.3302092777297801,0.19731204451643417,0.8903295932313879,0.8066563498986277,0.5921276362892428,0.3334293945224799,0.19712000902205878
maptv_vs_drz,success,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0c_frc_recons/maptv_a.npy,2,10.0,0.02986945586850471,-0.01581046703033242,0.033795787630972275,0.2986945586850471,-0.1581046703033242,0.39655035733789273,26.275659824046922,26.275659824046922,10,12,0.9280461136066418,0.848004650469165,0.5078354620271172,0.3505155697537272,0.06450093799347893,0.9287842827990622,0.8492225757119389,0.5092454836316935,0.3514072071652315,0.06831599236587114
v11_vs_tgv,success,output/stage0c_frc_recons/tgv_a.npy,output/stage0c_frc_recons/v11_a.npy,2,10.0,0.7412782964200822,0.2551735000334988,0.7839687671475218,7.412782964200822,2.551735000334988,0.417364498382846,30.06711409395973,20.0,41,0,0.6657249490498595,0.37267574791354025,0.03892169013559448,0.13631148481654076,0.24635570279283533,0.9248230836841405,0.8864675837720178,0.8267110741169734,0.7693939787052999,0.7554027033895623
