method,status,source,split_mode,seed,n_a,n_b,scale,pixel_size_um,hr_pitch_um,current_spatial_resolution_um,frc_curve_csv,split_half_nrmse,split_half_corr,zero_coverage_pct_a,zero_coverage_pct_b,phase_balance_max_abs_diff,frc_cutoff_frequency_um_inv_1_7,frc_cutoff_period_um_1_7,frc_cutoff_crossed_1_7,frc_cutoff_frequency_um_inv_half_bit,frc_cutoff_period_um_half_bit,frc_cutoff_crossed_half_bit,cutoff_1_7_role,period_um_conversion_audit,frc_at_80um,frc_at_80um_role,frc_at_60um,frc_at_60um_role,frc_at_40um,frc_at_40um_role,frc_at_30um,frc_at_30um_role,frc_at_24um,frc_at_24um_role,frc_at_20um,frc_at_20um_role,frc_at_16um,frc_at_16um_role,frc_at_14um,frc_at_14um_role,frc_at_12um,frc_at_12um_role,frc_at_10um,frc_at_10um_role,runtime_sec,reconstruction_a_npy,reconstruction_b_npy
drizzle,success,run_m2_frc.bilinear_drizzle; frame_domain=offset,phase_stratified,42,124,124,2,20.0,10.0,20.0,output/stage0g_frc_refined/frc_curves/drizzle_phase_stratified_seed42_frc_curve.csv,0.01996251940727234,0.9993601452024771,0.0,8.138020833881043e-05,1,0.03805803571428571,26.275659824046922,True,0.037276785714285714,26.826347305389223,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9951816289982548,at_or_above_current_spatial_resolution,0.9695705821494864,at_or_above_current_spatial_resolution,0.8437413806364068,at_or_above_current_spatial_resolution,0.5591320004605246,at_or_above_current_spatial_resolution,-0.00099709857113397,at_or_above_current_spatial_resolution,-0.9901236338865445,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,3.7534748800098896,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_b.npy
drizzle,success,run_m2_frc.bilinear_drizzle; frame_domain=offset,odd_even,-1,124,124,2,20.0,10.0,20.0,output/stage0g_frc_refined/frc_curves/drizzle_odd_even_odd_even_frc_curve.csv,0.007477078586816788,0.9998886969273687,0.0,0.0,5,0.048549107142857144,20.597701149425287,True,0.04575892857142857,21.853658536585368,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9977738433872537,at_or_above_current_spatial_resolution,0.9749447386337012,at_or_above_current_spatial_resolution,0.9074049211475939,at_or_above_current_spatial_resolution,0.683183778583647,at_or_above_current_spatial_resolution,0.32381873487315715,at_or_above_current_spatial_resolution,-0.0733568701712776,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,4.094157322979299,output/stage0g_frc_refined/recons/drizzle_odd_even_odd_even_a.npy,output/stage0g_frc_refined/recons/drizzle_odd_even_odd_even_b.npy
