method,stage0f_cutoff_1_7_um,stage0f_frc_at_30um,stage0f_frc_at_24um,stage0f_source_file,stage0h_cutoff_1_7_um,stage0h_frc_at_30um,stage0h_frc_at_24um,delta_frc_at_30um,delta_frc_at_24um,stage0h_source_file
v11_x_drz,30.06711409395973,0.108377258853306,0.1073833354626428,summary/stage0f_cross_method_summary_baseline.csv,26.58753709198813,0.1551936333624394,0.2028555506081776,0.04681637450913341,0.09547221514553479,summary/task3_leaderboard_method_summary.csv
c_nodr_x_drz,30.06711409395973,0.0984373030379141,0.1130761903257612,summary/stage0f_cross_method_summary_baseline.csv,26.666666666666668,0.2066102337531465,0.2055405055078426,0.10817293071523239,0.09246431518208141,summary/task3_leaderboard_method_summary.csv
d_dr01_x_drz,30.06711409395973,0.1181621727681799,0.109304324893812,summary/stage0f_cross_method_summary_baseline.csv,26.666666666666668,0.206948972607424,0.2029064896171204,0.0887867998392441,0.0936021647233084,summary/task3_leaderboard_method_summary.csv
tgv_x_drz,25.673352435530084,0.5583299138957859,0.1894927715477856,summary/stage0f_cross_method_summary_baseline.csv,23.033419023136247,0.7016974868823392,0.3558274315466492,0.14336757298655334,0.1663346599988636,summary/task3_leaderboard_method_summary.csv
maptv_x_drz,27.912772585669785,0.373772501348347,-0.057978670191747,summary/stage0f_cross_method_summary_baseline.csv,24.615384615384613,0.6895275105347072,0.296018579469394,0.3157550091863602,0.35399724966114104,summary/task3_leaderboard_method_summary.csv
tgv_x_maptv,20.0,0.7005240760041561,0.3860817324529464,summary/stage0f_cross_method_summary_baseline.csv,20.0,0.8807524774921058,0.7295967785165857,0.18022840148794972,0.34351504606363925,summary/task3_leaderboard_method_summary.csv
