method,source,frc_cutoff_period_um_1_7,frc_cutoff_crossed_1_7,frc_at_40um,frc_at_30um,frc_at_24um,frc_at_20um,frc_curve_csv,source_file
v11_self,external_split_artifact_pair,20.0,False,0.9844079149583692,0.9784727926214214,0.97319375529167,0.9796531855753894,output/stage0h_frc_leaderboard/frc_curves/v11_self_external_pair_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
c_nodr_self,external_split_artifact_pair,20.0,False,0.9951179519669248,0.9891968301362076,0.9902351815598102,0.9987701370234174,output/stage0h_frc_leaderboard/frc_curves/c_nodr_self_external_pair_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
d_dr01_self,external_split_artifact_pair,20.0,False,0.9941695390830046,0.990892358498448,0.9914231703043568,0.9865457815559412,output/stage0h_frc_leaderboard/frc_curves/d_dr01_self_external_pair_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
tgv_self,external_split_artifact_pair,20.0,True,0.9877337102949943,0.979951351800997,0.977808194668784,-0.201264612694746,output/stage0h_frc_leaderboard/frc_curves/tgv_self_external_pair_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
maptv_self,external_split_artifact_pair,22.74111675126904,True,0.921951801996984,0.8538178951257442,0.6383450822099831,-0.9658113878473308,output/stage0h_frc_leaderboard/frc_curves/maptv_self_external_pair_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
v11_samehalf,same_half_control,29.96655518394649,True,0.6491597710407304,0.1402581178683276,0.2145451767495505,-0.9829828701215916,output/stage0h_frc_leaderboard/frc_curves/v11_samehalf_external_pair_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
c_nodr_samehalf,same_half_control,26.666666666666668,True,0.6759516442531934,0.2088361381410343,0.2290062179569447,0.4425705063794112,output/stage0h_frc_leaderboard/frc_curves/c_nodr_samehalf_external_pair_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
d_dr01_samehalf,same_half_control,26.666666666666668,True,0.6776321988487211,0.2077730828287344,0.221817484566748,0.2796615039458198,output/stage0h_frc_leaderboard/frc_curves/d_dr01_samehalf_external_pair_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
tgv_samehalf,same_half_control,21.384248210023863,True,0.915936817069556,0.7447098959692682,0.4166248842480012,0.718279825830941,output/stage0h_frc_leaderboard/frc_curves/tgv_samehalf_external_pair_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
v11_x_drz,cross_method_split_pair,26.58753709198813,True,0.6290699900135527,0.1551936333624394,0.2028555506081776,0.0107030737116586,output/stage0h_frc_leaderboard/frc_curves/v11_x_drz_cross_mean_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
c_nodr_x_drz,cross_method_split_pair,26.666666666666668,True,0.6443542091658006,0.2066102337531465,0.2055405055078426,-0.0831764146095638,output/stage0h_frc_leaderboard/frc_curves/c_nodr_x_drz_cross_mean_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
d_dr01_x_drz,cross_method_split_pair,26.666666666666668,True,0.6467865520413956,0.206948972607424,0.2029064896171204,-0.1462827804230049,output/stage0h_frc_leaderboard/frc_curves/d_dr01_x_drz_cross_mean_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
tgv_x_drz,cross_method_split_pair,23.033419023136247,True,0.8666140780227143,0.7016974868823392,0.3558274315466492,-0.7198622851510079,output/stage0h_frc_leaderboard/frc_curves/tgv_x_drz_cross_mean_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
maptv_x_drz,cross_method_split_pair,24.615384615384613,True,0.8733435478595116,0.6895275105347072,0.296018579469394,-0.976253324492514,output/stage0h_frc_leaderboard/frc_curves/maptv_x_drz_cross_mean_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
tgv_x_maptv,cross_method_split_pair,20.0,True,0.9359019058686948,0.8807524774921058,0.7295967785165857,-0.6659802620588704,output/stage0h_frc_leaderboard/frc_curves/tgv_x_maptv_cross_mean_frc_curve.csv,summary/task3_leaderboard_method_summary.csv
