pair,status,path_a,path_b,scale,hr_pitch_um,offset_dx_hr_px,offset_dy_hr_px,offset_norm_hr_px,offset_dx_um,offset_dy_um,phase_corr_peak,cutoff_1_7_before_um,cutoff_1_7_after_um,sign_changes_45_21um_before,sign_changes_45_21um_after,frc_at_40um_before,frc_at_33um_before,frc_at_30um_before,frc_at_27um_before,frc_at_24um_before,frc_at_40um_after,frc_at_33um_after,frc_at_30um_after,frc_at_27um_after,frc_at_24um_after
v11_new_vs_drz,success,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0h_frc_recons/v11_a.npy,2,10.0,0.5872257186941043,0.4001244154698704,0.71058679452331,5.872257186941043,4.001244154698703,0.2542174436027736,29.96655518394649,22.798982188295167,26,0,0.6491597710407304,0.45739821883656945,0.1402581178683276,0.21260727946189079,0.2145451767495505,0.843085069377455,0.8188575490790927,0.669822261928054,0.47058902549193926,0.3853227043621758
c_nodr_new_vs_drz,success,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0h_frc_recons/C_nodr_a.npy,2,10.0,0.5643377864001392,0.3983763616081153,0.6907827897734056,5.643377864001392,3.983763616081153,0.2642975377577588,26.666666666666668,25.38243626062323,21,0,0.6759516442531934,0.49317378455225513,0.2088361381410343,0.19249592801621251,0.22900621795694473,0.8564708210421216,0.8416806123714522,0.6695238046197446,0.4635734114838243,0.38950835683421636
d_dr01_new_vs_drz,success,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0h_frc_recons/D_dr01_a.npy,2,10.0,0.5831915399100854,0.4068461813305839,0.7110809992440912,5.831915399100854,4.06846181330584,0.26440746414381416,26.666666666666668,25.454545454545457,23,0,0.6776321988487211,0.5020122288882854,0.20777308282873444,0.18623358669611728,0.22181748456674802,0.8534668562190278,0.8467673169415725,0.6803125341656955,0.4635774719968812,0.38471092066096185
tgv_new_vs_drz,success,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0h_frc_recons/tgv_a.npy,2,10.0,-0.003571274119932422,0.003938400697485586,0.005316483696359281,-0.03571274119932422,0.039384006974855855,0.35073166713376486,21.384248210023866,21.384248210023866,0,0,0.9159368170695559,0.8906262341370252,0.7447098959692682,0.5387102767293397,0.4166248842480012,0.9158567857946931,0.8904890851717047,0.7447778891347496,0.5387499764313176,0.41689267078208975
maptv_new_vs_drz,success,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0h_frc_recons/maptv_a.npy,2,10.0,0.004375445049928459,-0.005320979558218975,0.006888929005580451,0.04375445049928459,-0.05320979558218975,0.6793595779056351,20.0,20.0,0,0,0.9810786315193957,0.9650769016067468,0.9077863681322784,0.8318904392577959,0.7286804849602908,0.9810929881624385,0.965139026424787,0.9077543709929621,0.8319336888877337,0.7287919404110322
v11_new_vs_tgv,success,output/stage0h_frc_recons/tgv_a.npy,output/stage0h_frc_recons/v11_a.npy,2,10.0,0.6463044722123304,0.30949646542283377,0.7165874216806254,6.463044722123304,3.0949646542283378,0.4343990099092706,29.96655518394649,20.0,28,0,0.7144479821429365,0.4734470807554654,0.14726331111474614,0.26782465764477903,0.3984258252121766,0.9410222926728454,0.9100169797131833,0.8598287593794142,0.7868361678177668,0.8075591857437474
