method,status,source,split_mode,seed,n_a,n_b,scale,pixel_size_um,hr_pitch_um,current_spatial_resolution_um,frc_curve_csv,split_half_nrmse,split_half_corr,zero_coverage_pct_a,zero_coverage_pct_b,phase_balance_max_abs_diff,frc_cutoff_frequency_um_inv_1_7,frc_cutoff_period_um_1_7,frc_cutoff_crossed_1_7,frc_cutoff_frequency_um_inv_half_bit,frc_cutoff_period_um_half_bit,frc_cutoff_crossed_half_bit,cutoff_1_7_role,period_um_conversion_audit,frc_at_80um,frc_at_80um_role,frc_at_60um,frc_at_60um_role,frc_at_40um,frc_at_40um_role,frc_at_30um,frc_at_30um_role,frc_at_24um,frc_at_24um_role,frc_at_20um,frc_at_20um_role,frc_at_16um,frc_at_16um_role,frc_at_14um,frc_at_14um_role,frc_at_12um,frc_at_12um_role,frc_at_10um,frc_at_10um_role,artifact_a,artifact_b,cross_x_a,cross_x_b,cross_y_a,cross_y_b,cross_frc_interpretation,frc_at_80um_xa_yb,frc_at_80um_xb_ya,frc_at_60um_xa_yb,frc_at_60um_xb_ya,frc_at_40um_xa_yb,frc_at_40um_xb_ya,frc_at_30um_xa_yb,frc_at_30um_xb_ya,frc_at_24um_xa_yb,frc_at_24um_xb_ya,frc_at_20um_xa_yb,frc_at_20um_xb_ya,frc_at_16um_xa_yb,frc_at_16um_xb_ya,frc_at_14um_xa_yb,frc_at_14um_xb_ya,frc_at_12um_xa_yb,frc_at_12um_xb_ya,frc_at_10um_xa_yb,frc_at_10um_xb_ya
v11_self,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/v11_self_external_pair_frc_curve.csv,0.020788729190826416,0.9994688413502725,0.0,0.0,0,0.049999999999999996,20.0,False,0.049999999999999996,20.0,False,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9976453730539191,at_or_above_current_spatial_resolution,0.9808237524290815,at_or_above_current_spatial_resolution,0.9844079149583692,at_or_above_current_spatial_resolution,0.9784727926214214,at_or_above_current_spatial_resolution,0.9731937552916701,at_or_above_current_spatial_resolution,0.9796531855753894,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,output/stage0h_frc_recons/v11_a.npy,output/stage0h_frc_recons/v11_b.npy,,,,,,,,,,,,,,,,,,,,,,,,,
c_nodr_self,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/c_nodr_self_external_pair_frc_curve.csv,0.02553853765130043,0.9994358045254231,0.0,0.0,0,0.049999999999999996,20.0,False,0.049999999999999996,20.0,False,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9901757264578998,at_or_above_current_spatial_resolution,0.9937623536843035,at_or_above_current_spatial_resolution,0.9951179519669249,at_or_above_current_spatial_resolution,0.9891968301362075,at_or_above_current_spatial_resolution,0.9902351815598102,at_or_above_current_spatial_resolution,0.9987701370234174,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,output/stage0h_frc_recons/C_nodr_a.npy,output/stage0h_frc_recons/C_nodr_b.npy,,,,,,,,,,,,,,,,,,,,,,,,,
d_dr01_self,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/d_dr01_self_external_pair_frc_curve.csv,0.023702608421444893,0.9994463886516761,0.0,0.0,0,0.049999999999999996,20.0,False,0.049999999999999996,20.0,False,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9900608282877978,at_or_above_current_spatial_resolution,0.9936995961563145,at_or_above_current_spatial_resolution,0.9941695390830046,at_or_above_current_spatial_resolution,0.990892358498448,at_or_above_current_spatial_resolution,0.9914231703043569,at_or_above_current_spatial_resolution,0.9865457815559412,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,output/stage0h_frc_recons/D_dr01_a.npy,output/stage0h_frc_recons/D_dr01_b.npy,,,,,,,,,,,,,,,,,,,,,,,,,
tgv_self,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/tgv_self_external_pair_frc_curve.csv,0.032291609793901443,0.9979716346648853,0.0,0.0,0,0.049999999999999996,20.0,True,0.049999999999999996,20.0,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9956964760030602,at_or_above_current_spatial_resolution,0.9833383276639448,at_or_above_current_spatial_resolution,0.9877337102949943,at_or_above_current_spatial_resolution,0.979951351800997,at_or_above_current_spatial_resolution,0.977808194668784,at_or_above_current_spatial_resolution,-0.20126461269474605,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,output/stage0h_frc_recons/tgv_a.npy,output/stage0h_frc_recons/tgv_b.npy,,,,,,,,,,,,,,,,,,,,,,,,,
maptv_self,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/maptv_self_external_pair_frc_curve.csv,0.03895232453942299,0.9970282649389116,0.0,0.0,0,0.04397321428571428,22.741116751269036,True,0.04386160714285714,22.798982188295167,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9959519718343394,at_or_above_current_spatial_resolution,0.9783797035320518,at_or_above_current_spatial_resolution,0.9219518019969839,at_or_above_current_spatial_resolution,0.8538178951257442,at_or_above_current_spatial_resolution,0.6383450822099831,at_or_above_current_spatial_resolution,-0.9658113878473307,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,output/stage0h_frc_recons/maptv_a.npy,output/stage0h_frc_recons/maptv_b.npy,,,,,,,,,,,,,,,,,,,,,,,,,
v11_samehalf,success,same_half_control,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/v11_samehalf_external_pair_frc_curve.csv,15.807289123535156,0.9954377364233579,0.0,0.0,0,0.033370535714285714,29.96655518394649,True,0.03325892857142857,30.06711409395973,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9317015029307352,at_or_above_current_spatial_resolution,0.8074144378132937,at_or_above_current_spatial_resolution,0.6491597710407304,at_or_above_current_spatial_resolution,0.1402581178683276,at_or_above_current_spatial_resolution,0.2145451767495505,at_or_above_current_spatial_resolution,-0.9829828701215916,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,output/stage0h_frc_recons/v11_a.npy,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,,,,,,,,,,,,,,,,,,,,,,,,,
c_nodr_samehalf,success,same_half_control,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/c_nodr_samehalf_external_pair_frc_curve.csv,15.913575172424316,0.9953811507124475,0.0,0.0,0,0.0375,26.666666666666668,True,0.033370535714285714,29.96655518394649,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9422551041687216,at_or_above_current_spatial_resolution,0.8273443011558234,at_or_above_current_spatial_resolution,0.6759516442531934,at_or_above_current_spatial_resolution,0.2088361381410343,at_or_above_current_spatial_resolution,0.22900621795694473,at_or_above_current_spatial_resolution,0.44257050637941125,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,output/stage0h_frc_recons/C_nodr_a.npy,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,,,,,,,,,,,,,,,,,,,,,,,,,
d_dr01_samehalf,success,same_half_control,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/d_dr01_samehalf_external_pair_frc_curve.csv,15.793127059936523,0.99542023423885,0.0,0.0,0,0.0375,26.666666666666668,True,0.033370535714285714,29.96655518394649,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9413550127914713,at_or_above_current_spatial_resolution,0.8274048096936608,at_or_above_current_spatial_resolution,0.6776321988487211,at_or_above_current_spatial_resolution,0.20777308282873444,at_or_above_current_spatial_resolution,0.22181748456674802,at_or_above_current_spatial_resolution,0.2796615039458198,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,output/stage0h_frc_recons/D_dr01_a.npy,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,,,,,,,,,,,,,,,,,,,,,,,,,
tgv_samehalf,success,same_half_control,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/tgv_samehalf_external_pair_frc_curve.csv,0.7535395622253418,0.40756044029215954,0.0,0.0,0,0.04676339285714286,21.384248210023866,True,0.04341517857142857,23.033419023136247,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9999015865321568,at_or_above_current_spatial_resolution,0.9953285762830978,at_or_above_current_spatial_resolution,0.9159368170695559,at_or_above_current_spatial_resolution,0.7447098959692682,at_or_above_current_spatial_resolution,0.4166248842480012,at_or_above_current_spatial_resolution,0.718279825830941,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,output/stage0h_frc_recons/tgv_a.npy,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,,,,,,,,,,,,,,,,,,,,,,,,,
v11_x_drz,success,cross_method_split_pair,cross_method_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0h_frc_leaderboard/frc_curves/v11_x_drz_cross_mean_frc_curve.csv,15.923441886901855,0.9951362600858105,0.0,0.0,0,0.03761160714285714,26.587537091988132,True,0.03325892857142857,30.06711409395973,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9279500682943518,at_or_above_current_spatial_resolution,0.8017820770688157,at_or_above_current_spatial_resolution,0.6290699900135527,at_or_above_current_spatial_resolution,0.15519363336243946,at_or_above_current_spatial_resolution,0.20285555060817764,at_or_above_current_spatial_resolution,0.010703073711658628,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,output/stage0h_frc_recons/v11_a.npy,output/stage0h_frc_recons/v11_b.npy,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0g_frc_refined/recons/drizzle_phase_stratified_seed42_b.npy,"symmetrized cross-method FRC (mean of X_a-vs-Y_b and X_b-vs-Y_a); shared-prior hallucination does not survive; relative ranking only, alignment still shared",0.9240233140259574,0.9318768225627461,0.7958350018383329,0.8077291522992986,0.6120362743813775,0.6461037056457278,0.16194003005153487,0.14844723667334403,0.1924355833027718,0.21327551791358346,0.9475207550392272,-0.9261146076159099,,,,,,,,
