method,status,source,split_mode,seed,n_a,n_b,scale,pixel_size_um,hr_pitch_um,current_spatial_resolution_um,frc_curve_csv,split_half_nrmse,split_half_corr,zero_coverage_pct_a,zero_coverage_pct_b,phase_balance_max_abs_diff,frc_cutoff_frequency_um_inv_1_7,frc_cutoff_period_um_1_7,frc_cutoff_crossed_1_7,frc_cutoff_frequency_um_inv_half_bit,frc_cutoff_period_um_half_bit,frc_cutoff_crossed_half_bit,cutoff_1_7_role,period_um_conversion_audit,frc_at_80um,frc_at_80um_role,frc_at_60um,frc_at_60um_role,frc_at_40um,frc_at_40um_role,frc_at_30um,frc_at_30um_role,frc_at_24um,frc_at_24um_role,frc_at_20um,frc_at_20um_role,frc_at_16um,frc_at_16um_role,frc_at_14um,frc_at_14um_role,frc_at_12um,frc_at_12um_role,frc_at_10um,frc_at_10um_role,runtime_sec,reconstruction_a_npy,reconstruction_b_npy,cross_x_a,cross_x_b,cross_y_a,cross_y_b,cross_frc_interpretation,frc_at_80um_xa_yb,frc_at_80um_xb_ya,frc_at_60um_xa_yb,frc_at_60um_xb_ya,frc_at_40um_xa_yb,frc_at_40um_xb_ya,frc_at_30um_xa_yb,frc_at_30um_xb_ya,frc_at_24um_xa_yb,frc_at_24um_xb_ya,frc_at_20um_xa_yb,frc_at_20um_xb_ya,frc_at_16um_xa_yb,frc_at_16um_xb_ya,frc_at_14um_xa_yb,frc_at_14um_xb_ya,frc_at_12um_xa_yb,frc_at_12um_xb_ya,frc_at_10um_xa_yb,frc_at_10um_xb_ya
drizzle,success,run_m2_frc.bilinear_drizzle; frame_domain=offset,phase_stratified,42,124,124,2,20.0,10.0,20.0,output/stage0f_frc_cross/frc_curves/drizzle_phase_stratified_seed42_frc_curve.csv,0.015245395712554455,0.9995772829918298,0.0,8.138020833881043e-05,1,0.03370535714285714,29.668874172185433,True,0.03370535714285714,29.668874172185433,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9953915408199193,at_or_above_current_spatial_resolution,0.9619055964595269,at_or_above_current_spatial_resolution,0.7738952718074462,at_or_above_current_spatial_resolution,0.3765251337858332,at_or_above_current_spatial_resolution,0.17394721807418498,at_or_above_current_spatial_resolution,-0.42901691572922385,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,4.080426490021637,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_b.npy,,,,,,,,,,,,,,,,,,,,,,,,,
v11_x_drz,success,cross_method_split_pair,cross_method_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0f_frc_cross/frc_curves/v11_x_drz_cross_mean_frc_curve.csv,15.91948127746582,0.995112647520985,0.0,0.0,0,0.03325892857142857,30.06711409395973,True,0.03325892857142857,30.06711409395973,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9185065187756973,at_or_above_current_spatial_resolution,0.7852357014970571,at_or_above_current_spatial_resolution,0.6028487125053668,at_or_above_current_spatial_resolution,0.10837725885330603,at_or_above_current_spatial_resolution,0.10738333546264281,at_or_above_current_spatial_resolution,-0.08089239483910843,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/v11_a.npy,output/stage0c_frc_recons/v11_b.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_b.npy,"symmetrized cross-method FRC (mean of X_a-vs-Y_b and X_b-vs-Y_a); shared-prior hallucination does not survive; relative ranking only, alignment still shared",0.9023206767699633,0.9346923607814315,0.7519661123277277,0.8185052906663866,0.5497000461675818,0.6559973788431518,0.038688588372492935,0.17806592933411913,0.09392888028857357,0.12083779063671206,0.7501435292737973,-0.9119283189520142,,,,,,,,
c_nodr_x_drz,success,cross_method_split_pair,cross_method_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0f_frc_cross/frc_curves/c_nodr_x_drz_cross_mean_frc_curve.csv,16.01273202896118,0.9950860210368648,0.0,0.0,0,0.03325892857142857,30.06711409395973,True,0.03325892857142857,30.06711409395973,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9161602470488817,at_or_above_current_spatial_resolution,0.7878866268097493,at_or_above_current_spatial_resolution,0.5957893278180253,at_or_above_current_spatial_resolution,0.09843730303791412,at_or_above_current_spatial_resolution,0.11307619032576129,at_or_above_current_spatial_resolution,0.3573142878503804,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/C_nodr_a.npy,output/stage0c_frc_recons/C_nodr_b.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_b.npy,"symmetrized cross-method FRC (mean of X_a-vs-Y_b and X_b-vs-Y_a); shared-prior hallucination does not survive; relative ranking only, alignment still shared",0.9232899681548893,0.9090305259428739,0.7841427780814983,0.7916304755380004,0.5781784080654417,0.6134002475706087,0.12476573298673409,0.07210887308909415,0.12433542479447121,0.10181695585705136,0.1338873983469712,0.5807411773537896,,,,,,,,
d_dr01_x_drz,success,cross_method_split_pair,cross_method_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0f_frc_cross/frc_curves/d_dr01_x_drz_cross_mean_frc_curve.csv,15.949631690979004,0.9950526970903992,0.0,0.0,0,0.03325892857142857,30.06711409395973,True,0.03325892857142857,30.06711409395973,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9154004285789411,at_or_above_current_spatial_resolution,0.7877203845672319,at_or_above_current_spatial_resolution,0.6127908467818048,at_or_above_current_spatial_resolution,0.11816217276817997,at_or_above_current_spatial_resolution,0.10930432489381209,at_or_above_current_spatial_resolution,0.5626085034511283,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/D_dr01_a.npy,output/stage0c_frc_recons/D_dr01_b.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_b.npy,"symmetrized cross-method FRC (mean of X_a-vs-Y_b and X_b-vs-Y_a); shared-prior hallucination does not survive; relative ranking only, alignment still shared",0.9227611093589574,0.908039747798925,0.7826939436932622,0.7927468254412018,0.5835929256960535,0.6419887678675561,0.13342313035549008,0.10290121518086986,0.11760655287655626,0.10100209691106793,0.506102396267685,0.6191146106345717,,,,,,,,
tgv_x_drz,success,cross_method_split_pair,cross_method_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0f_frc_cross/frc_curves/tgv_x_drz_cross_mean_frc_curve.csv,0.7564430832862854,0.41087124942044806,0.0,0.0,0,0.03895089285714286,25.673352435530084,True,0.03839285714285714,26.04651162790698,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9947736300294947,at_or_above_current_spatial_resolution,0.9670941271629067,at_or_above_current_spatial_resolution,0.8308735591488065,at_or_above_current_spatial_resolution,0.5583299138957859,at_or_above_current_spatial_resolution,0.1894927715477856,at_or_above_current_spatial_resolution,-0.8841908379912209,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/tgv_a.npy,output/stage0c_frc_recons/tgv_b.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_b.npy,"symmetrized cross-method FRC (mean of X_a-vs-Y_b and X_b-vs-Y_a); shared-prior hallucination does not survive; relative ranking only, alignment still shared",0.9943667374552817,0.9951805226037077,0.963861934925876,0.9703263193999373,0.8116344760486528,0.8501126422489599,0.5569154188010034,0.5597444089905687,0.18815018876756723,0.19083535432800394,-0.890746310525503,-0.8776353654569388,,,,,,,,
maptv_x_drz,success,cross_method_split_pair,cross_method_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0f_frc_cross/frc_curves/maptv_x_drz_cross_mean_frc_curve.csv,0.7642476558685303,0.41987563131362626,0.0,0.0,0,0.035825892857142855,27.912772585669785,True,0.03370535714285714,29.668874172185433,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9946492827149813,at_or_above_current_spatial_resolution,0.9638264291884,at_or_above_current_spatial_resolution,0.8260915575149194,at_or_above_current_spatial_resolution,0.37377250134834705,at_or_above_current_spatial_resolution,-0.05797867019174709,at_or_above_current_spatial_resolution,-0.5239253011903616,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/maptv_a.npy,output/stage0c_frc_recons/maptv_b.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_a.npy,output/stage0f_frc_cross/recons/drizzle_phase_stratified_seed42_b.npy,"symmetrized cross-method FRC (mean of X_a-vs-Y_b and X_b-vs-Y_a); shared-prior hallucination does not survive; relative ranking only, alignment still shared",0.9931467251818391,0.9961518402481236,0.9599539445062102,0.9676989138705899,0.805722958974224,0.8464601560556149,0.38325222200084036,0.36429278069585375,-0.08229349218525304,-0.03366384819824113,-0.4224861426626355,-0.6253644597180877,,,,,,,,
tgv_x_maptv,success,cross_method_split_pair,cross_method_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0f_frc_cross/frc_curves/tgv_x_maptv_cross_mean_frc_curve.csv,0.07928019389510155,0.9886539887393664,0.0,0.0,0,0.049999999999999996,20.0,True,0.039285714285714285,25.454545454545457,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9948801942287648,at_or_above_current_spatial_resolution,0.9775507011177613,at_or_above_current_spatial_resolution,0.9464273825891752,at_or_above_current_spatial_resolution,0.7005240760041561,at_or_above_current_spatial_resolution,0.3860817324529464,at_or_above_current_spatial_resolution,-0.9262505044235217,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/tgv_a.npy,output/stage0c_frc_recons/tgv_b.npy,output/stage0c_frc_recons/maptv_a.npy,output/stage0c_frc_recons/maptv_b.npy,"symmetrized cross-method FRC (mean of X_a-vs-Y_b and X_b-vs-Y_a); shared-prior hallucination does not survive; relative ranking only, alignment still shared",0.9963255643179411,0.9934348241395886,0.979337570063881,0.9757638321716416,0.9504388185304177,0.9424159466479327,0.7035464569503495,0.6975016950579629,0.41038389296157535,0.3617795719443175,-0.9714288820425552,-0.8810721268044883,,,,,,,,
