method,stage,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
d_dr01_new_vs_drz,after,0.0,inf,0.9999857002202699,0.14285714285714285,0.7560610050770457,3,10.0,20.0
d_dr01_new_vs_drz,after,0.00011160714285714285,8960.0,0.9999799313514186,0.14285714285714285,0.5160568456025979,12,10.0,20.0
d_dr01_new_vs_drz,after,0.0002232142857142857,4480.0,0.9998679150647304,0.14285714285714285,0.43846389609946435,22,10.0,20.0
d_dr01_new_vs_drz,after,0.0003348214285714286,2986.6666666666665,0.9998141713762063,0.14285714285714285,0.41192739958594665,28,10.0,20.0
d_dr01_new_vs_drz,after,0.0004464285714285714,2240.0,0.9992942852983338,0.14285714285714285,0.37684928940895107,40,10.0,20.0
d_dr01_new_vs_drz,after,0.0005580357142857143,1792.0,0.9997319961008528,0.14285714285714285,0.3572655453148874,50,10.0,20.0
d_dr01_new_vs_drz,after,0.0006696428571428571,1493.3333333333333,0.9998171584440698,0.14285714285714285,0.3607189084162777,48,10.0,20.0
d_dr01_new_vs_drz,after,0.0007812499999999999,1280.0,0.9994295607068596,0.14285714285714285,0.33301944154606616,68,10.0,20.0
d_dr01_new_vs_drz,after,0.0008928571428571428,1120.0,0.9991858878020328,0.14285714285714285,0.3308883459615167,70,10.0,20.0
d_dr01_new_vs_drz,after,0.0010044642857142856,995.5555555555557,0.9990335138401177,0.14285714285714285,0.32498105977643776,76,10.0,20.0
d_dr01_new_vs_drz,after,0.0011160714285714285,896.0,0.9989414312006657,0.14285714285714285,0.3120228149867766,92,10.0,20.0
d_dr01_new_vs_drz,after,0.0012276785714285714,814.5454545454546,0.9981450834149443,0.14285714285714285,0.30307454563671804,106,10.0,20.0
d_dr01_new_vs_drz,after,0.0013392857142857143,746.6666666666666,0.9972842672684913,0.14285714285714285,0.309276869488276,96,10.0,20.0
d_dr01_new_vs_drz,after,0.0014508928571428572,689.2307692307692,0.9986801564591713,0.14285714285714285,0.297657677511583,116,10.0,20.0
