method,split_mode,seed,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
v11_self,external_artifact_pair,-1,0.0,inf,0.9999567675929736,0.1428571428571428,0.7560610050770457,3,10.0,20.0
v11_self,external_artifact_pair,-1,0.0001116071428571,8960.0,0.9999032474322967,0.1428571428571428,0.5160568456025979,12,10.0,20.0
v11_self,external_artifact_pair,-1,0.0002232142857142,4480.0,0.9998424239036836,0.1428571428571428,0.4384638960994643,22,10.0,20.0
v11_self,external_artifact_pair,-1,0.0003348214285714,2986.6666666666665,0.9999030957393242,0.1428571428571428,0.4119273995859466,28,10.0,20.0
v11_self,external_artifact_pair,-1,0.0004464285714285,2240.0,0.999766101800596,0.1428571428571428,0.376849289408951,40,10.0,20.0
v11_self,external_artifact_pair,-1,0.0005580357142857,1792.0,0.9999234796620132,0.1428571428571428,0.3572655453148874,50,10.0,20.0
v11_self,external_artifact_pair,-1,0.0006696428571428,1493.3333333333333,0.999922172267932,0.1428571428571428,0.3607189084162777,48,10.0,20.0
v11_self,external_artifact_pair,-1,0.0007812499999999,1280.0,0.999896837797612,0.1428571428571428,0.3330194415460661,68,10.0,20.0
v11_self,external_artifact_pair,-1,0.0008928571428571,1120.0,0.999895672661562,0.1428571428571428,0.3308883459615167,70,10.0,20.0
v11_self,external_artifact_pair,-1,0.0010044642857142,995.5555555555557,0.9998987770030257,0.1428571428571428,0.3249810597764377,76,10.0,20.0
v11_self,external_artifact_pair,-1,0.0011160714285714,896.0,0.9999090705972248,0.1428571428571428,0.3120228149867766,92,10.0,20.0
v11_self,external_artifact_pair,-1,0.0012276785714285,814.5454545454546,0.9998789214240646,0.1428571428571428,0.303074545636718,106,10.0,20.0
v11_self,external_artifact_pair,-1,0.0013392857142857,746.6666666666666,0.9998612085188092,0.1428571428571428,0.309276869488276,96,10.0,20.0
v11_self,external_artifact_pair,-1,0.0014508928571428,689.2307692307692,0.9998893440349028,0.1428571428571428,0.297657677511583,116,10.0,20.0
v11_self,external_artifact_pair,-1,0.0015624999999999,640.0,0.9998335749853922,0.1428571428571428,0.289420288912266,134,10.0,20.0
v11_self,external_artifact_pair,-1,0.0016741071428571,597.3333333333334,0.9994546467326424,0.1428571428571428,0.2956748612128594,120,10.0,20.0
v11_self,external_artifact_pair,-1,0.0017857142857142,560.0,0.999575633303052,0.1428571428571428,0.2847638081271247,146,10.0,20.0
v11_self,external_artifact_pair,-1,0.0018973214285714,527.0588235294118,0.999661227024878,0.1428571428571428,0.2812856424436456,156,10.0,20.0
v11_self,external_artifact_pair,-1,0.0020089285714285,497.7777777777778,0.999930956728895,0.1428571428571428,0.2870201871950258,140,10.0,20.0
v11_self,external_artifact_pair,-1,0.0021205357142857,471.5789473684211,0.999894967882864,0.1428571428571428,0.2757709533720164,174,10.0,20.0
v11_self,external_artifact_pair,-1,0.0022321428571428,448.0,0.9999346561114566,0.1428571428571428,0.2752091333889933,176,10.0,20.0
v11_self,external_artifact_pair,-1,0.00234375,426.6666666666667,0.9999508525654884,0.1428571428571428,0.273051000260408,184,10.0,20.0
v11_self,external_artifact_pair,-1,0.0024553571428571,407.2727272727273,0.99992381817885,0.1428571428571428,0.2705369635786124,194,10.0,20.0
v11_self,external_artifact_pair,-1,0.0025669642857142,389.5652173913044,0.9999127337948645,0.1428571428571428,0.269116846861646,200,10.0,20.0
v11_self,external_artifact_pair,-1,0.0026785714285714,373.3333333333333,0.999835836482064,0.1428571428571428,0.2673166390391592,208,10.0,20.0
v11_self,external_artifact_pair,-1,0.0027901785714285,358.4,0.9995531325224084,0.1428571428571428,0.2668822084027434,210,10.0,20.0
v11_self,external_artifact_pair,-1,0.0029017857142857,344.6153846153846,0.999708774954616,0.1428571428571428,0.2617315099101021,236,10.0,20.0
v11_self,external_artifact_pair,-1,0.0030133928571428,331.8518518518519,0.999673449977817,0.1428571428571428,0.2632250986856457,228,10.0,20.0
v11_self,external_artifact_pair,-1,0.0031249999999999,320.0,0.999582823788603,0.1428571428571428,0.2613695641695868,238,10.0,20.0
v11_self,external_artifact_pair,-1,0.0032366071428571,308.96551724137936,0.9997555712500968,0.1428571428571428,0.2576597972433477,260,10.0,20.0
v11_self,external_artifact_pair,-1,0.0033482142857142,298.6666666666667,0.9995732946291354,0.1428571428571428,0.2586250244740691,254,10.0,20.0
v11_self,external_artifact_pair,-1,0.0034598214285714,289.03225806451616,0.9997990146597748,0.1428571428571428,0.2552370970586252,276,10.0,20.0
v11_self,external_artifact_pair,-1,0.0035714285714285,280.0,0.9998824754744244,0.1428571428571428,0.2558232643037454,272,10.0,20.0
v11_self,external_artifact_pair,-1,0.0036830357142857,271.5151515151515,0.9998840577997866,0.1428571428571428,0.2527449491574839,294,10.0,20.0
v11_self,external_artifact_pair,-1,0.0037946428571428,263.5294117647059,0.9998724038265188,0.1428571428571428,0.2541010745146297,284,10.0,20.0
v11_self,external_artifact_pair,-1,0.00390625,256.0,0.9997388317155004,0.1428571428571428,0.2514544516681247,304,10.0,20.0
v11_self,external_artifact_pair,-1,0.0040178571428571,248.8888888888889,0.9997423181880596,0.1428571428571428,0.2492808358345323,322,10.0,20.0
v11_self,external_artifact_pair,-1,0.0041294642857142,242.16216216216216,0.9996649031220192,0.1428571428571428,0.2514544516681247,304,10.0,20.0
v11_self,external_artifact_pair,-1,0.0042410714285714,235.78947368421052,0.999610756209772,0.1428571428571428,0.2490502694584327,324,10.0,20.0
v11_self,external_artifact_pair,-1,0.0043526785714285,229.74358974358967,0.9995143813373268,0.1428571428571428,0.2458237679817894,354,10.0,20.0
v11_self,external_artifact_pair,-1,0.0044642857142857,224.0,0.9997041999992716,0.1428571428571428,0.2477092467132213,336,10.0,20.0
v11_self,external_artifact_pair,-1,0.0045758928571428,218.53658536585365,0.9993923185923912,0.1428571428571428,0.24643640318775,348,10.0,20.0
v11_self,external_artifact_pair,-1,0.0046875,213.33333333333331,0.9992052498182336,0.1428571428571428,0.2442617325963765,370,10.0,20.0
v11_self,external_artifact_pair,-1,0.0047991071428571,208.37209302325584,0.99955010680773,0.1428571428571428,0.2440734187181129,372,10.0,20.0
v11_self,external_artifact_pair,-1,0.0049107142857142,203.63636363636363,0.9994555238754464,0.1428571428571428,0.2438865796149162,374,10.0,20.0
v11_self,external_artifact_pair,-1,0.0050223214285714,199.11111111111117,0.9994336161510126,0.1428571428571428,0.2412486646688545,404,10.0,20.0
v11_self,external_artifact_pair,-1,0.0051339285714285,194.7826086956522,0.9997652891893348,0.1428571428571428,0.2422683287804758,392,10.0,20.0
v11_self,external_artifact_pair,-1,0.0052455357142857,190.63829787234044,0.9997849939989928,0.1428571428571428,0.2427954615022515,386,10.0,20.0
v11_self,external_artifact_pair,-1,0.0053571428571428,186.66666666666663,0.9996268920625724,0.1428571428571428,0.2396441629955907,424,10.0,20.0
v11_self,external_artifact_pair,-1,0.00546875,182.8571428571429,0.9993260754302709,0.1428571428571428,0.2402723965958697,416,10.0,20.0
