method,stage,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
maptv_new_vs_drz,before,0.03415178571428571,29.28104575163399,0.8705162446420539,0.14285714285714285,0.1995447720660188,2620,10.0,20.0
maptv_new_vs_drz,before,0.03426339285714285,29.185667752443,0.8921615437237943,0.14285714285714285,0.1995869599845832,2612,10.0,20.0
maptv_new_vs_drz,before,0.034374999999999996,29.090909090909093,0.9011932398539467,0.14285714285714285,0.19953425497473404,2622,10.0,20.0
maptv_new_vs_drz,before,0.034486607142857145,28.996763754045304,0.8864491378141052,0.14285714285714285,0.19923435045727056,2680,10.0,20.0
maptv_new_vs_drz,before,0.03459821428571429,28.903225806451612,0.8716985565167704,0.14285714285714285,0.19940897247414457,2646,10.0,20.0
maptv_new_vs_drz,before,0.03470982142857143,28.810289389067524,0.8909959666564203,0.14285714285714285,0.19948184772087152,2632,10.0,20.0
maptv_new_vs_drz,before,0.03482142857142857,28.717948717948715,0.8706398410819138,0.14285714285714285,0.19925472300409489,2676,10.0,20.0
maptv_new_vs_drz,before,0.034933035714285715,28.62619808306709,0.8711224152882641,0.14285714285714285,0.199163400800433,2694,10.0,20.0
maptv_new_vs_drz,before,0.03504464285714286,28.53503184713376,0.8628063929014502,0.14285714285714285,0.19929560413957997,2668,10.0,20.0
maptv_new_vs_drz,before,0.03515625,28.444444444444443,0.860340969919066,0.14285714285714285,0.19923435045727056,2680,10.0,20.0
maptv_new_vs_drz,before,0.03526785714285714,28.354430379746837,0.8772526743080116,0.14285714285714285,0.199163400800433,2694,10.0,20.0
maptv_new_vs_drz,before,0.035379464285714285,28.26498422712934,0.9073953393573271,0.14285714285714285,0.19903307957272984,2720,10.0,20.0
maptv_new_vs_drz,before,0.03549107142857143,28.17610062893082,0.9163347041065254,0.14285714285714285,0.19923435045727056,2680,10.0,20.0
maptv_new_vs_drz,before,0.03560267857142857,28.087774294670847,0.8929501170826246,0.14285714285714285,0.1987296503731864,2782,10.0,20.0
maptv_new_vs_drz,before,0.03571428571428571,28.0,0.8616949287833392,0.14285714285714285,0.19919374056785832,2688,10.0,20.0
maptv_new_vs_drz,before,0.035825892857142855,27.912772585669785,0.8498113598040533,0.14285714285714285,0.19897355378849282,2732,10.0,20.0
maptv_new_vs_drz,before,0.0359375,27.826086956521742,0.8640851642515256,0.14285714285714285,0.19863390479962775,2802,10.0,20.0
maptv_new_vs_drz,before,0.03604910714285714,27.73993808049536,0.832960887434304,0.14285714285714285,0.19893408530849774,2740,10.0,20.0
maptv_new_vs_drz,before,0.03616071428571428,27.654320987654323,0.8376836259593639,0.14285714285714285,0.1989636705837003,2734,10.0,20.0
maptv_new_vs_drz,before,0.036272321428571425,27.56923076923077,0.8141136362622957,0.14285714285714285,0.1987779076146052,2772,10.0,20.0
maptv_new_vs_drz,before,0.03638392857142857,27.48466257668712,0.8323215671148693,0.14285714285714285,0.1985674850051077,2816,10.0,20.0
maptv_new_vs_drz,before,0.036495535714285716,27.400611620795104,0.8432585286836782,0.14285714285714285,0.19880698630805718,2766,10.0,20.0
maptv_new_vs_drz,before,0.03660714285714286,27.317073170731707,0.8449170057692181,0.14285714285714285,0.19847344616835114,2836,10.0,20.0
maptv_new_vs_drz,before,0.03671875,27.23404255319149,0.8440094783761591,0.14285714285714285,0.1985674850051077,2816,10.0,20.0
maptv_new_vs_drz,before,0.036830357142857144,27.151515151515152,0.8478373404400441,0.14285714285714285,0.1987296503731864,2782,10.0,20.0
maptv_new_vs_drz,before,0.036941964285714286,27.069486404833835,0.8258585286201277,0.14285714285714285,0.1983434350217766,2864,10.0,20.0
maptv_new_vs_drz,before,0.03705357142857143,26.987951807228917,0.8329394671947818,0.14285714285714285,0.19852975072299847,2824,10.0,20.0
maptv_new_vs_drz,before,0.03716517857142857,26.906906906906908,0.8425730297437257,0.14285714285714285,0.19837113512849097,2858,10.0,20.0
maptv_new_vs_drz,before,0.037276785714285714,26.826347305389223,0.8135426967641156,0.14285714285714285,0.19847344616835114,2836,10.0,20.0
maptv_new_vs_drz,before,0.037388392857142856,26.746268656716417,0.8227074160789603,0.14285714285714285,0.1984547565946868,2840,10.0,20.0
maptv_new_vs_drz,before,0.0375,26.666666666666668,0.7993262539703312,0.14285714285714285,0.19818808118118406,2898,10.0,20.0
maptv_new_vs_drz,before,0.03761160714285714,26.587537091988132,0.8118591927418221,0.14285714285714285,0.19843610609789097,2844,10.0,20.0
maptv_new_vs_drz,before,0.037723214285714284,26.50887573964497,0.7983970742216534,0.14285714285714285,0.19795564920134207,2950,10.0,20.0
maptv_new_vs_drz,before,0.037834821428571426,26.4306784660767,0.8019471916770416,0.14285714285714285,0.19830663541185475,2872,10.0,20.0
