candidate_label,split,refine_mode,sigma_x_lr_px,sigma_y_lr_px,angle_deg,anisotropy_ratio,n_frames,band_mse_mean,band_rms_mean,band_rms_from_mean_mse,band_rms_median,full_rms_from_mean_mse,shift_delta_norm_mean_px,shift_delta_norm_p95_px
sx0.100_sy0.100_a0.0,train,bounded,0.1,0.1,0.0,1.0,198,0.009826220912649234,0.09902601532189031,0.09912729650630665,0.09754178845403562,23.309289832583776,0.4028124776372246,0.7071066968928506
sx0.100_sy0.150_a45.0,train,bounded,0.1,0.15000000000000002,45.0,1.5000000000000002,198,0.009826382397761364,0.09902682457530243,0.09912811103698771,0.09754237511639274,23.30928983732417,0.4028124776372246,0.7071066968928506
sx0.100_sy0.150_a135.0,train,bounded,0.1,0.15000000000000002,135.0,1.5000000000000002,198,0.009826383766685992,0.09902683140132061,0.09912811794181302,0.09754238006539095,23.309289837464863,0.4028124776372246,0.7071066968928506
sx0.100_sy0.150_a0.0,train,bounded,0.1,0.15000000000000002,0.0,1.5000000000000002,198,0.009828573868762841,0.09903778414230757,0.09913916415202845,0.09755182007682282,23.30928989395608,0.4028124776372246,0.7071066968928506
sx0.100_sy0.150_a90.0,train,bounded,0.1,0.15000000000000002,90.0,1.5000000000000002,198,0.00982866209466019,0.09903827088030362,0.09913960911089063,0.09754924537781323,23.30928990130483,0.40328025989179256,0.7071066968928506
sx0.150_sy0.150_a0.0,train,bounded,0.15,0.15,0.0,1.0,198,0.009831017954114776,0.0990500530005204,0.09915148992382704,0.09755929618430922,23.30928996266979,0.40328025989179256,0.7071066968928506
sx0.150_sy0.225_a45.0,train,bounded,0.15,0.22499999999999998,45.0,1.5,198,0.00985479542275863,0.09916912378367225,0.0992713222575313,0.0976461897114756,23.309290638923347,0.4033161526555314,0.7071067000538642
sx0.150_sy0.225_a135.0,train,bounded,0.15,0.22499999999999998,135.0,1.5,198,0.009855440617628738,0.09917233916200378,0.0992745718581991,0.0976484649864586,23.309290659854423,0.4033161526555314,0.7071067000538642
sx0.150_sy0.225_a0.0,train,bounded,0.15,0.22499999999999998,0.0,1.5,198,0.00987469696081456,0.09926832115975796,0.09937150980444324,0.09774834850009093,23.30929108591644,0.4038212028378344,0.7071067000538642
sx0.150_sy0.225_a90.0,train,bounded,0.15,0.22499999999999998,90.0,1.5,198,0.009876410499949582,0.09927768954827718,0.0993801313138073,0.09772649853531082,23.30929139866678,0.4038212028378344,0.7071067000538642
sx0.200_sy0.200_a0.0,train,bounded,0.2,0.2,0.0,1.0,198,0.009878026458795637,0.09928535958202755,0.09938826117200983,0.09774928184788358,23.309291316553416,0.4038212028378344,0.7071067000538642
sx0.250_sy0.250_a0.0,train,bounded,0.25,0.25,0.0,1.0,198,0.009969763446133699,0.09974319662778942,0.09984870277641918,0.09813970195320437,23.309293918773847,0.4031841838325841,0.7071067000538642
sx0.200_sy0.300_a0.0,train,bounded,0.2,0.30000000000000004,0.0,1.5000000000000002,198,0.009969806494676612,0.09974265505496305,0.09984891834505075,0.0981813536228236,23.309293663413925,0.40331615281443756,0.7071067000538642
sx0.200_sy0.300_a45.0,train,bounded,0.2,0.30000000000000004,45.0,1.5000000000000002,198,0.009970582583430962,0.0997473110358365,0.09985280458470339,0.09813260849979286,23.30929395620108,0.4037711927168731,0.7071067000538642
sx0.200_sy0.300_a90.0,train,bounded,0.2,0.30000000000000004,90.0,1.5000000000000002,198,0.009973566502687478,0.09976292597308019,0.0998677450565871,0.09814583018644665,23.3092942833619,0.4036892338559809,0.7071067000538642
sx0.200_sy0.300_a135.0,train,bounded,0.2,0.30000000000000004,135.0,1.5000000000000002,198,0.009975348749840351,0.09977096602563217,0.09987666769491436,0.09818101332094165,23.309294090488894,0.4036892338559808,0.7071067000538642
sx0.300_sy0.300_a0.0,train,bounded,0.3,0.3,0.0,1.0,198,0.010068755119797537,0.10023511715190905,0.10034318671338646,0.09863299320476512,23.309296700975015,0.40373924385886645,0.7071067000538642
sx0.250_sy0.375_a0.0,train,bounded,0.25,0.375,0.0,1.5,198,0.010093536062316813,0.10035692300631474,0.10046659177217476,0.09876957527760943,23.30929703464856,0.40483130112404236,0.7071067000538642
sx0.250_sy0.375_a90.0,train,bounded,0.25,0.375,90.0,1.5,198,0.010098667784663997,0.10038420916758022,0.10049212797360794,0.09877342329161937,23.309297864326762,0.4041623334055616,0.7071067000538642
sx0.250_sy0.375_a45.0,train,bounded,0.25,0.375,45.0,1.5,198,0.010101125954270238,0.10039565456654588,0.1005043578869605,0.09876763929793428,23.30929759948413,0.4042442920760627,0.7071067000538642
sx0.250_sy0.375_a135.0,train,bounded,0.25,0.375,135.0,1.5,198,0.010111661812861833,0.10044765501424022,0.10055675916049518,0.0988758123443364,23.30929786783167,0.4047493424535412,0.7071067000538642
sx0.300_sy0.450_a0.0,train,bounded,0.3,0.44999999999999996,0.0,1.5,198,0.01023753186400018,0.10106731540249353,0.10118068918524019,0.09944644254016236,23.309300952139345,0.4053363493412386,0.7071067000538642
sx0.300_sy0.450_a45.0,train,bounded,0.3,0.44999999999999996,45.0,1.5,198,0.010238724456720773,0.10107472177081812,0.10118658239470672,0.09940838489241573,23.30930142277372,0.40525439332699026,0.7071067000538642
sx0.300_sy0.450_a90.0,train,bounded,0.3,0.44999999999999996,90.0,1.5,198,0.010244464611537081,0.1011036965642568,0.10121494262971788,0.09938029652002661,23.30930200754893,0.40541223580689584,0.7071067000538642
sx0.300_sy0.450_a135.0,train,bounded,0.3,0.44999999999999996,135.0,1.5,198,0.01025566764979163,0.10115782827653315,0.10127027031558487,0.09947069442922699,23.309301855545147,0.40498914371819134,0.7071067000538642
sx0.400_sy0.400_a0.0,train,bounded,0.4,0.4,0.0,1.0,198,0.010286664371368718,0.10130990374740197,0.10142319444470638,0.09959788342457479,23.309302755161358,0.4052543906707375,0.7071067000538642
sx0.500_sy0.500_a0.0,train,bounded,0.5,0.5,0.0,1.0,198,0.010572096961098416,0.10270126013697331,0.10282070297901301,0.1008673337327318,23.309310483712014,0.4060732118696099,0.7071067179662754
sx0.400_sy0.600_a45.0,train,bounded,0.4,0.6000000000000001,45.0,1.5000000000000002,198,0.010593837276230752,0.10280719763267182,0.10292636822617784,0.1009251236082368,23.309311098466992,0.40535245782268575,0.7071067179662754
sx0.400_sy0.600_a0.0,train,bounded,0.4,0.6000000000000001,0.0,1.5000000000000002,198,0.01059879055891628,0.10282861472209957,0.10295042767718976,0.10101697431126808,23.309310521766193,0.4057881267155196,0.7071067179662754
sx0.400_sy0.600_a90.0,train,bounded,0.4,0.6000000000000001,90.0,1.5000000000000002,198,0.010611589021999344,0.10289388407275142,0.10301256730127321,0.10096787186265593,23.30931227142745,0.4065316545808565,0.7071067179662754
sx0.400_sy0.600_a135.0,train,bounded,0.4,0.6000000000000001,135.0,1.5000000000000002,198,0.010628446199690235,0.10297418499220017,0.10309435580908508,0.10115750132576795,23.309312013019444,0.4068884209416024,0.7071067179662754
sx0.500_sy0.750_a45.0,train,bounded,0.5,0.75,45.0,1.5,198,0.011072805697813909,0.10509980647607049,0.10522739993848516,0.10315585489531781,23.30932399221118,0.40392045207229976,0.707106721127291
sx0.500_sy0.750_a0.0,train,bounded,0.5,0.75,0.0,1.5,198,0.01108417841483179,0.10514998530257366,0.10528142483283455,0.10321148661039843,23.309323255578295,0.40605264193935786,0.707106721127291
sx0.500_sy0.750_a90.0,train,bounded,0.5,0.75,90.0,1.5,198,0.011105135647821757,0.10525356211137334,0.1053809074160104,0.10326323324892248,23.309325973863206,0.4056916477997399,0.707106721127291
sx0.500_sy0.750_a135.0,train,bounded,0.5,0.75,135.0,1.5,198,0.011132125974814847,0.10537990303558556,0.10550889050129779,0.1034347859689487,23.30932561083884,0.40541469251532236,0.707106721127291
sx0.500_sy0.500_a0.0,train,none,0.5,0.5,0.0,1.0,198,0.011929937436743053,0.1090066017557936,0.10922425296948958,0.1084358968793453,23.30934909378259,0.0,0.0
sx0.100_sy0.100_a0.0,val,bounded,0.1,0.1,0.0,1.0,50,0.009838855624221671,0.09909487443107341,0.09919100576272867,0.09830160679790557,23.314855245163074,0.4690726347528578,0.7071067390397002
sx0.100_sy0.150_a45.0,val,bounded,0.1,0.15000000000000002,45.0,1.5000000000000002,50,0.009839016871245146,0.09909568230470622,0.09919181857010761,0.09830207551332579,23.31485524987498,0.4690726347528578,0.7071067390397002
sx0.100_sy0.150_a135.0,val,bounded,0.1,0.15000000000000002,135.0,1.5000000000000002,50,0.009839018400120995,0.09909568996538923,0.09919182627677038,0.09830207827179493,23.31485525004345,0.4690726347528578,0.7071067390397002
sx0.100_sy0.150_a0.0,val,bounded,0.1,0.15000000000000002,0.0,1.5000000000000002,50,0.009841211766073017,0.0991066589242931,0.09920288184358868,0.09830940207230845,23.314855306470292,0.4690726347528578,0.7071067390397002
sx0.100_sy0.150_a90.0,val,bounded,0.1,0.15000000000000002,90.0,1.5000000000000002,50,0.00984128916712346,0.09910708625284702,0.09920327195775078,0.09830775668602852,23.31485532413347,0.4690726347528578,0.7071067390397002
sx0.150_sy0.150_a0.0,val,bounded,0.15,0.15,0.0,1.0,50,0.009843648238137458,0.09911888413635773,0.09921516133201345,0.0983155708496812,23.31485538543206,0.4690726347528578,0.7071067390397002
sx0.150_sy0.225_a45.0,val,bounded,0.15,0.22499999999999998,45.0,1.5,50,0.009867376099056711,0.09923767301055031,0.09933466715631915,0.09838588156452002,23.314856081193305,0.4690726347528578,0.7071067390397002
sx0.150_sy0.225_a135.0,val,bounded,0.15,0.22499999999999998,135.0,1.5,50,0.009868083294838457,0.09924120777838526,0.09933822675505365,0.09838691737867007,23.314856103463093,0.4690726347528578,0.7071067390397002
sx0.150_sy0.225_a0.0,val,bounded,0.15,0.22499999999999998,0.0,1.5,50,0.009887389937327698,0.09933745047173019,0.09943535556997671,0.09846286337181931,23.314856516637253,0.4690726347528578,0.7071067390397002
sx0.150_sy0.225_a90.0,val,bounded,0.15,0.22499999999999998,90.0,1.5,50,0.009888870327977622,0.09934555469237479,0.09944279927665764,0.09843398090612804,23.314856836262354,0.4690726347528578,0.7071067390397002
sx0.200_sy0.200_a0.0,val,bounded,0.2,0.2,0.0,1.0,50,0.009890604487681007,0.09935386330663962,0.09945151827740493,0.09845544060445066,23.31485675092214,0.4690726347528578,0.7071067390397002
sx0.250_sy0.250_a0.0,val,bounded,0.25,0.25,0.0,1.0,50,0.00998210052731795,0.0998103369692077,0.09991046255181661,0.09884890038100182,23.314859245879326,0.4707310581466397,0.7071067390397002
sx0.200_sy0.300_a0.0,val,bounded,0.2,0.30000000000000004,0.0,1.5000000000000002,50,0.00998239322108873,0.09981112831346753,0.09991192732146012,0.09883468033488492,23.314858893702244,0.4727310586234767,0.7071067390397002
sx0.200_sy0.300_a45.0,val,bounded,0.2,0.30000000000000004,45.0,1.5000000000000002,50,0.0099828016414742,0.09981384084062864,0.09991397120260109,0.09884775216429569,23.314859269899458,0.4707310581466397,0.7071067390397002
sx0.200_sy0.300_a90.0,val,bounded,0.2,0.30000000000000004,90.0,1.5000000000000002,50,0.009985677820974646,0.09982883854384335,0.09992836344589381,0.09883958682017233,23.314859606559246,0.4698394840165762,0.7071067390397002
sx0.200_sy0.300_a135.0,val,bounded,0.2,0.30000000000000004,135.0,1.5000000000000002,50,0.009987849382843243,0.09983894766463917,0.09993922844830874,0.09888219432835464,23.31485942105206,0.4707310581466397,0.7071067390397002
sx0.300_sy0.300_a0.0,val,bounded,0.3,0.3,0.0,1.0,50,0.010080817084577937,0.10030070252799236,0.10040327228022967,0.09916822249566268,23.314862096004696,0.4689765540996273,0.7071067390397002
sx0.250_sy0.375_a0.0,val,bounded,0.25,0.375,0.0,1.5,50,0.01010590089830881,0.10042407452474578,0.1005281099907325,0.09933852380522364,23.314862315279505,0.4727310586234767,0.7071067390397002
sx0.250_sy0.375_a90.0,val,bounded,0.25,0.375,90.0,1.5,50,0.010110451516858798,0.10044823879735235,0.10055074100601545,0.09914737813777832,23.314863262428023,0.4700849780622151,0.7071067390397002
sx0.250_sy0.375_a45.0,val,bounded,0.25,0.375,45.0,1.5,50,0.010112934188872214,0.10045986582153371,0.10056308561729903,0.09928542190153568,23.314862986908736,0.4689765540996273,0.7071067390397002
sx0.250_sy0.375_a135.0,val,bounded,0.25,0.375,135.0,1.5,50,0.010123908404767736,0.10051412923989968,0.10061763466096654,0.09925968794678455,23.314863304424545,0.4689765540996273,0.7071067390397002
sx0.300_sy0.450_a0.0,val,bounded,0.3,0.44999999999999996,0.0,1.5,50,0.010249697847105698,0.10113320414941701,0.10124079141880361,0.09975013312663862,23.314866313149402,0.46931465226625435,0.7071067390397002
sx0.300_sy0.450_a45.0,val,bounded,0.3,0.44999999999999996,45.0,1.5,50,0.010250324652377159,0.10113761714484104,0.10124388698769501,0.0996693675913938,23.314866812921206,0.4709765521922785,0.7071067390397002
sx0.300_sy0.450_a90.0,val,bounded,0.3,0.44999999999999996,90.0,1.5,50,0.010256089944581706,0.10116665507753905,0.10127235528307667,0.09952618362298851,23.314867426452793,0.4709765521922785,0.7071067390397002
sx0.300_sy0.450_a135.0,val,bounded,0.3,0.44999999999999996,135.0,1.5,50,0.010267736310125406,0.10122314481849039,0.1013298391892803,0.09965017139077209,23.31486730667681,0.4709765521922785,0.7071067390397002
sx0.400_sy0.400_a0.0,val,bounded,0.4,0.4,0.0,1.0,50,0.010298397230953375,0.10137343294219095,0.1014810190673772,0.09975624481042844,23.314868172911762,0.47117459063476297,0.7071067390397002
sx0.500_sy0.500_a0.0,val,bounded,0.5,0.5,0.0,1.0,50,0.010583708573375488,0.10276359827776835,0.10287715282498583,0.10093172613665549,23.314875917529434,0.46891630007452384,0.7071067390397002
sx0.400_sy0.600_a45.0,val,bounded,0.4,0.6000000000000001,45.0,1.5000000000000002,50,0.010605441105229435,0.10286936824469262,0.10298272236268292,0.10105535169986538,23.314876440389718,0.46908045427464296,0.7071067390397002
sx0.400_sy0.600_a0.0,val,bounded,0.4,0.6000000000000001,0.0,1.5000000000000002,50,0.010610491543682677,0.10289145511145607,0.1030072402488421,0.10106567138166361,23.31487589921766,0.4672543938125425,0.7071067390397002
sx0.400_sy0.600_a90.0,val,bounded,0.4,0.6000000000000001,90.0,1.5000000000000002,50,0.010623286338209012,0.10295643147579725,0.10306932782457161,0.10116327027499836,23.31487773742157,0.4693485300880434,0.7071067390397002
sx0.400_sy0.600_a135.0,val,bounded,0.4,0.6000000000000001,135.0,1.5000000000000002,50,0.010640286335470346,0.10303759975577345,0.10315176360814364,0.1011921033865774,23.31487749513932,0.4685782019078968,0.7071067390397002
sx0.500_sy0.750_a45.0,val,bounded,0.5,0.75,45.0,1.5,50,0.011084914373273025,0.10516337916802375,0.10528491997087248,0.10330709601993655,23.314889483466718,0.4672543938125425,0.7071067390397002
sx0.500_sy0.750_a0.0,val,bounded,0.5,0.75,0.0,1.5,50,0.01109604892723842,0.10521265599418954,0.10533778489810017,0.10327559572471469,23.314888757452398,0.4652543909515198,0.7071067390397002
sx0.500_sy0.750_a90.0,val,bounded,0.5,0.75,90.0,1.5,50,0.011117305534505764,0.10531730315853377,0.10543863397496082,0.10348796376362908,23.314891618511645,0.46213535772707814,0.7071067200736179
sx0.500_sy0.750_a135.0,val,bounded,0.5,0.75,135.0,1.5,50,0.01114432078994274,0.10544390992550395,0.10556666514550292,0.10358622563658099,23.31489138807006,0.46107962948151504,0.7071067200736179
sx0.500_sy0.500_a0.0,val,none,0.5,0.5,0.0,1.0,50,0.01231003128844637,0.11076158045507885,0.11095058038805553,0.11099234112454491,23.314926456314037,0.0,0.0
