split_mode,seed,bin_id,count_total,count_a,count_b,abs_diff
phase_stratified,42,0,61,30,31,1
phase_stratified,42,1,65,32,33,1
phase_stratified,42,2,59,30,29,1
phase_stratified,42,3,63,32,31,1
