method,status,source,split_mode,seed,n_a,n_b,scale,pixel_size_um,hr_pitch_um,current_spatial_resolution_um,frc_curve_csv,split_half_nrmse,split_half_corr,zero_coverage_pct_a,zero_coverage_pct_b,phase_balance_max_abs_diff,frc_cutoff_frequency_um_inv_1_7,frc_cutoff_period_um_1_7,frc_cutoff_crossed_1_7,frc_cutoff_frequency_um_inv_half_bit,frc_cutoff_period_um_half_bit,frc_cutoff_crossed_half_bit,cutoff_1_7_role,period_um_conversion_audit,frc_at_80um,frc_at_80um_role,frc_at_60um,frc_at_60um_role,frc_at_40um,frc_at_40um_role,frc_at_30um,frc_at_30um_role,frc_at_24um,frc_at_24um_role,frc_at_20um,frc_at_20um_role,frc_at_16um,frc_at_16um_role,frc_at_14um,frc_at_14um_role,frc_at_12um,frc_at_12um_role,frc_at_10um,frc_at_10um_role,runtime_sec,reconstruction_a_npy,reconstruction_b_npy,artifact_a,artifact_b
drizzle,success,run_m2_frc.bilinear_drizzle; frame_domain=offset,phase_stratified,42,124,124,2,20.0,10.0,20.0,output/stage0c_frc_leaderboard/frc_curves/drizzle_phase_stratified_seed42_frc_curve.csv,0.015245395712554455,0.9995772829918298,0.0,8.138020833881043e-05,1,0.03370535714285714,29.668874172185433,True,0.03370535714285714,29.668874172185433,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9953915408199193,at_or_above_current_spatial_resolution,0.9619055964595269,at_or_above_current_spatial_resolution,0.7738952718074462,at_or_above_current_spatial_resolution,0.3765251337858332,at_or_above_current_spatial_resolution,0.17394721807418498,at_or_above_current_spatial_resolution,-0.42901691572922385,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,3.370583872019779,,,,
v11,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0c_frc_leaderboard/frc_curves/v11_external_pair_frc_curve.csv,0.02003422938287258,0.9994041946272515,0.0,0.0,0,0.049999999999999996,20.0,False,0.049999999999999996,20.0,False,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9955291515118996,at_or_above_current_spatial_resolution,0.974989907118726,at_or_above_current_spatial_resolution,0.9739507239346546,at_or_above_current_spatial_resolution,0.9551141727328465,at_or_above_current_spatial_resolution,0.9446232470926972,at_or_above_current_spatial_resolution,0.9998386723995649,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/v11_a.npy,output/stage0c_frc_recons/v11_b.npy
tgv,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0c_frc_leaderboard/frc_curves/tgv_external_pair_frc_curve.csv,0.035958729684352875,0.9974676050181461,0.0,0.0,0,0.049999999999999996,20.0,True,0.049999999999999996,20.0,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9946181421356685,at_or_above_current_spatial_resolution,0.9790088663599685,at_or_above_current_spatial_resolution,0.9793739752865496,at_or_above_current_spatial_resolution,0.9692265860845896,at_or_above_current_spatial_resolution,0.957013159932272,at_or_above_current_spatial_resolution,-0.4034883538041168,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/tgv_a.npy,output/stage0c_frc_recons/tgv_b.npy
maptv,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0c_frc_leaderboard/frc_curves/maptv_external_pair_frc_curve.csv,0.041024111211299896,0.99663485815997,0.0,0.0,0,0.047098214285714285,21.232227488151658,True,0.047098214285714285,21.232227488151658,True,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.996826524234321,at_or_above_current_spatial_resolution,0.9826811008199776,at_or_above_current_spatial_resolution,0.9405969803076029,at_or_above_current_spatial_resolution,0.8933530809472707,at_or_above_current_spatial_resolution,0.8103827258273686,at_or_above_current_spatial_resolution,-0.6197161073069897,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/maptv_a.npy,output/stage0c_frc_recons/maptv_b.npy
c_nodr,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0c_frc_leaderboard/frc_curves/c_nodr_external_pair_frc_curve.csv,0.027859393507242203,0.9990561297636527,0.0,0.0,0,0.049999999999999996,20.0,False,0.049999999999999996,20.0,False,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9734300081500418,at_or_above_current_spatial_resolution,0.9778150734099199,at_or_above_current_spatial_resolution,0.9562617588950094,at_or_above_current_spatial_resolution,0.9174609636701527,at_or_above_current_spatial_resolution,0.9087180980607963,at_or_above_current_spatial_resolution,0.9310695777458147,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/C_nodr_a.npy,output/stage0c_frc_recons/C_nodr_b.npy
d_dr01,success,external_split_artifact_pair,external_artifact_pair,-1,0,0,2,20.0,10.0,20.0,output/stage0c_frc_leaderboard/frc_curves/d_dr01_external_pair_frc_curve.csv,0.026664189994335175,0.9991264422032712,0.0,0.0,0,0.049999999999999996,20.0,False,0.049999999999999996,20.0,False,at_or_above_current_spatial_resolution,period_um = 1 / frequency_um_inv with d = pixel_size_um / scale; pixel_size_um fixed at 20.,0.9732094196311754,at_or_above_current_spatial_resolution,0.9796227619841127,at_or_above_current_spatial_resolution,0.9730827462293985,at_or_above_current_spatial_resolution,0.942747903928068,at_or_above_current_spatial_resolution,0.9433848679969707,at_or_above_current_spatial_resolution,0.9974889147099355,at_or_above_current_spatial_resolution,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,below_20um_spatial_resolution_audit_only,,,,output/stage0c_frc_recons/D_dr01_a.npy,output/stage0c_frc_recons/D_dr01_b.npy
